Legajo,investigacion,desde,hasta,dedicación
86463229,677281,2015-05-29,2019-04-20,36
95519045,618025,2018-08-30,2019-08-07,39
60736459,200970,2021-08-03,2023-10-03,23
33012987,119976,1992-07-01,2014-10-29,32
66486867,820771,2023-07-18,2024-06-18,39
24197541,719262,1981-12-20,2017-04-04,13
64069648,370947,1979-03-31,2003-02-01,15
96032982,891414,1985-11-05,2011-01-05,28
39146888,246862,2005-04-12,2006-09-04,10
15687635,586147,1984-11-01,2005-05-15,23
156833,326483,1977-07-21,1982-11-02,24
91320947,764075,1995-09-13,2018-05-11,17
50797680,399455,1976-07-08,1985-01-16,33
82843034,743966,2002-07-10,2017-06-11,13
69121047,423484,1999-01-11,2000-01-21,25
36661454,408854,2023-02-09,2024-04-01,7
47386505,899156,1987-10-06,2021-09-30,18
9756310,724462,1983-03-11,1999-04-04,32
38851041,597558,2004-08-28,2024-04-01,14
61989059,289545,1992-12-10,1995-03-03,16
1028897,896740,1984-01-09,2015-03-28,26
46520852,251975,2010-01-17,2010-02-20,15
22036536,677640,1986-03-06,2022-01-31,15
6865389,725796,2006-03-10,2010-11-18,16
99431987,169886,2008-01-24,2009-03-20,25
48214152,264389,2012-07-01,2019-08-29,35
9536128,185563,1982-06-25,1998-06-14,12
13991318,196102,2010-09-12,2021-05-03,2
29586312,174761,1978-05-04,2006-08-25,7
39011452,77731,1977-03-23,2004-09-25,10
69517735,314640,2008-09-11,2013-09-11,35
84607831,74881,2009-01-28,2020-06-11,22
78803491,976247,1970-07-05,1983-03-11,33
4353607,58341,1999-06-22,2011-11-26,20
97790643,630085,2010-11-06,2011-10-08,11
44626842,255656,2014-09-07,2015-02-12,15
49625934,399915,2009-12-24,2016-09-23,8
31954839,110971,2014-12-14,2019-01-22,10
65968457,249091,1971-08-04,1992-06-06,6
61792113,397865,1979-02-14,2012-08-31,21
19105447,44464,1982-11-15,1987-07-05,34
57128275,889781,2009-05-04,2023-03-26,4
3062914,873248,1975-06-26,2001-04-07,27
15388657,34435,1973-10-26,1993-05-15,20
64385186,243556,2000-01-21,2023-02-12,17
48181912,356991,1970-08-06,1972-06-10,17
37977735,729001,1994-02-15,1996-06-14,23
82619207,514280,2022-08-03,2023-07-19,7
56982808,394241,1990-02-21,1995-09-04,35
58810190,990770,1977-07-24,1982-08-23,35
47554083,885850,1999-11-11,2012-10-21,33
53659799,990239,2019-09-30,2022-01-26,11
97318847,370262,1988-05-15,1992-07-07,16
4401646,443586,1995-10-21,2011-07-12,7
16835825,606204,2007-08-04,2021-12-03,31
75155228,997317,2020-08-31,2022-06-15,25
41177836,315992,2017-05-28,2021-10-06,40
99405280,14345,2008-01-22,2013-05-15,14
56954312,42814,1982-07-21,2002-06-19,30
18920007,484177,1993-06-16,2004-03-26,10
43207552,811579,1997-08-06,2023-07-04,25
10655030,739187,2022-11-11,2024-04-09,19
60211405,363440,1998-12-13,2000-08-01,21
88939523,629465,1986-07-07,1988-07-21,5
16689598,630970,1999-05-05,2020-05-29,12
44350259,198897,2024-04-17,2024-04-27,4
5871708,813630,1988-01-20,2001-05-22,37
3470887,256059,1983-03-22,1983-06-10,23
96099904,815737,2014-10-31,2018-05-22,12
65406827,135017,1982-12-11,1993-07-01,21
27736961,209440,1989-11-01,1999-08-24,31
31560830,927928,2005-11-20,2017-10-24,25
12747900,167644,1980-04-05,1986-04-30,8
90873119,716715,2018-07-06,2023-05-13,25
7117906,601532,1999-10-13,2000-09-25,26
61426300,749412,2020-03-26,2020-09-05,6
60654951,15751,2010-11-16,2015-08-13,30
77576612,159964,2004-08-05,2019-02-26,2
63849102,696369,1992-09-28,2019-03-19,19
815606,181139,2024-04-17,2024-06-25,10
81043194,820035,1999-01-03,2003-06-12,23
69879829,12583,1998-03-03,2010-01-13,25
3628620,460210,1976-05-26,2019-10-07,39
34067256,532636,1988-02-01,2007-02-20,22
73201300,327657,1971-04-01,1981-05-05,1
93665372,823500,1998-08-09,2023-07-25,12
59489127,696576,2013-03-18,2015-11-07,17
82663044,554069,2019-05-02,2022-09-06,11
82002387,194313,1979-09-20,2002-10-27,7
77736067,227803,1994-06-06,2011-06-07,27
82235272,569816,2000-03-12,2014-12-28,19
29396578,35601,1985-06-16,2022-04-08,1
82521447,365465,2018-04-29,2018-11-23,14
65771950,6306,1971-07-26,1986-10-09,5
89950598,591797,1980-08-02,1992-09-15,20
22432746,767453,1984-06-21,2013-01-01,1
13441576,857200,2021-10-24,2024-01-01,6
4933199,751347,1999-09-29,2012-08-26,15
32863190,924778,1989-12-23,2013-07-06,8
70860406,978638,1991-11-12,2001-03-15,21
444307,749888,1988-06-11,1991-05-11,2
15587003,273211,1983-12-01,2010-01-26,18
92832833,157058,1995-01-20,1998-08-22,14
57437891,431438,1979-05-02,2003-08-30,8
42877237,984558,2007-08-11,2017-12-11,1
53678300,669131,2002-10-13,2004-04-16,39
6425450,621898,1997-05-23,1998-02-14,35
31762382,370277,1971-07-31,1999-09-08,23
107553,372019,1993-04-23,2014-01-06,8
36902004,330256,1978-07-08,1987-02-16,13
60874900,902599,1988-06-25,2005-06-02,39
1380178,425339,1999-04-30,2022-05-05,37
95378409,800102,1995-02-20,2023-02-27,12
51907033,257167,2005-01-31,2012-06-06,21
6884789,63646,1974-08-13,1989-04-10,1
17194796,261158,2019-05-18,2021-12-15,2
74485422,374900,2021-01-07,2022-04-02,34
43124479,534597,1973-06-16,1974-01-21,27
13917725,447542,1978-04-25,1981-03-02,35
72695082,431881,2005-06-08,2011-11-10,35
12836468,149664,2002-10-15,2004-12-13,34
615813,526464,1978-12-29,2015-05-18,7
35717108,456452,1983-09-03,1994-12-16,9
19112775,827590,2007-03-05,2015-09-02,36
5490568,750167,2017-04-19,2017-06-29,23
55612041,472421,2020-01-04,2022-08-13,18
82340144,631255,1995-11-03,2014-12-26,39
45124377,82810,2021-07-13,2024-05-12,38
75818550,634837,2012-07-23,2021-06-15,30
95240346,134236,1975-12-27,2006-05-25,28
33239194,976477,1972-03-06,2012-08-26,24
454843,269189,1994-03-15,2014-06-28,10
34947286,218481,2010-01-19,2017-07-09,23
14625697,837660,1994-10-16,2002-05-24,28
60319355,916642,2023-05-24,2023-10-31,14
69180833,409760,1974-07-24,1984-05-02,25
8505398,364465,1970-12-23,1999-11-02,32
68141300,160781,1984-10-06,1997-10-30,16
50068629,690225,1984-09-19,2015-01-22,11
37438964,591171,1994-11-10,2019-07-02,28
56363449,205536,1987-07-23,2004-03-24,11
52594976,540075,1987-03-24,2000-01-26,31
88003693,408228,1972-12-16,1986-10-04,26
15558252,2818,2006-06-24,2007-08-10,20
46056132,906951,2012-05-30,2012-12-22,36
38258944,837381,1998-11-28,2024-04-03,1
74902808,936062,1980-04-27,2004-06-01,14
10044088,836024,1982-08-30,2005-12-20,33
98289195,761343,2014-07-26,2023-07-25,8
81631020,110427,2009-05-28,2013-01-14,25
10682977,584304,2012-10-14,2013-08-24,17
1809587,179976,2021-02-28,2024-06-21,24
64626545,11112,1983-07-04,1993-06-19,11
84339642,176371,1992-01-22,2002-03-19,30
32560487,817741,1990-03-06,2023-04-05,21
73189032,852570,1974-08-16,1988-10-17,20
44149529,358642,2024-06-23,2024-06-26,25
60091860,589551,1994-06-15,2016-11-10,38
12124221,271225,1978-07-28,1991-05-20,3
77958255,894190,2008-09-20,2013-08-05,30
90867412,148682,2010-06-07,2014-05-31,7
39885485,32618,2001-08-05,2018-01-04,16
8228790,350981,1999-02-16,2021-12-10,38
54940732,524259,1992-11-03,2022-04-19,27
68854587,233644,1983-04-30,2007-11-20,15
12771113,552039,1984-01-05,2022-10-28,34
75374807,347359,1993-11-18,2001-06-18,2
66712415,2838,1993-05-10,1997-11-09,1
22895214,309257,2011-06-11,2015-06-30,15
68293789,878071,2016-08-17,2023-11-27,18
67755101,78194,2009-01-16,2022-12-11,40
23005461,658834,2015-09-03,2017-05-13,25
86297148,139926,1981-08-21,1990-04-27,30
1879341,895735,1999-05-04,2023-04-28,15
88610200,930660,2004-04-22,2005-09-03,21
45663447,446499,1980-07-15,1997-06-15,8
44690537,317584,2015-05-28,2023-02-23,29
91956491,231064,1979-09-13,1992-11-05,35
89751144,452076,2005-06-13,2012-01-09,10
14961424,429753,2015-01-10,2022-06-30,2
77898069,683944,2006-09-16,2020-03-05,38
31832905,592516,2001-05-28,2019-12-31,14
88003693,595443,1987-12-23,2023-02-04,2
70743492,775784,1991-09-19,2006-08-01,19
4705883,674598,2004-07-17,2009-11-19,17
44999976,556258,1974-10-05,1995-07-17,31
76488783,503548,1990-07-09,2010-05-18,12
89026086,218879,2015-12-07,2019-07-07,17
44122684,528464,2013-02-24,2014-01-02,4
75026516,630222,2022-01-01,2023-10-10,2
39102583,228715,2004-06-26,2023-04-10,14
29947207,909420,1982-08-22,2018-02-17,19
8534635,425218,1972-06-26,2003-09-18,24
11492135,785648,2013-08-12,2023-01-22,29
22186358,349011,2007-08-20,2013-07-10,8
81338927,389742,2021-08-17,2023-03-01,38
68635562,309721,1973-05-28,2013-01-01,30
12532040,760162,2001-07-03,2016-12-10,11
14947879,466182,1980-01-19,2006-05-19,24
77598540,638261,1994-03-23,2024-03-14,10
10227277,898577,1976-04-29,2003-05-08,8
52274253,954607,1980-07-21,1989-06-10,8
12551339,953696,1994-01-25,2022-03-30,10
28716451,459007,2000-07-25,2013-11-08,6
67114783,839355,1995-05-04,2022-04-21,38
33245589,294557,2011-05-15,2015-02-19,34
34452363,608649,1994-03-23,1996-03-02,39
13761203,218272,1987-08-17,2005-12-02,13
948423,341362,2023-08-21,2023-11-25,11
32335053,171002,1975-09-06,1993-01-21,4
32785336,878052,2004-11-13,2018-05-13,6
53100582,925615,2013-09-24,2015-10-17,5
43870956,193995,2014-08-23,2018-04-25,6
81164979,303750,1996-04-07,2006-06-03,19
62774591,855005,1972-01-21,2011-04-17,1
70564970,120295,2014-06-05,2018-10-10,40
70192534,708189,1989-04-28,1993-02-08,34
89750256,709843,1988-08-18,2012-06-18,13
86213671,43755,2005-04-27,2008-07-15,3
90684624,141769,1991-06-15,2005-08-14,2
66466575,240331,2022-04-26,2023-07-10,14
67906146,634934,1997-04-02,2000-04-09,15
74644303,309992,1991-07-02,1993-06-20,2
5945309,816210,2010-02-13,2023-08-26,19
37876783,280097,1993-12-12,2020-08-11,23
23547961,560920,1992-05-22,2009-07-03,32
58820007,800169,1990-03-23,2006-03-05,21
37055519,901982,2024-01-19,2024-07-05,13
85411735,179833,2019-06-28,2021-05-27,32
66518529,522671,2012-07-02,2015-08-06,10
46027946,420678,1995-06-23,2018-05-24,14
20903937,56728,1977-05-17,2020-12-09,13
11550312,254452,1987-01-04,2001-04-02,24
32231418,675531,2000-06-06,2019-10-13,4
25917192,259352,1989-03-22,2020-05-02,36
41669268,71534,2008-08-30,2009-11-11,37
8825371,86903,1996-12-19,2010-04-19,6
16844921,848241,2004-02-17,2004-10-04,12
71022619,322487,2013-06-13,2013-12-10,19
55041279,486183,2019-11-03,2020-10-31,4
32217305,938174,1978-08-15,1989-03-31,24
21845209,964570,1999-08-06,2014-10-24,24
1113205,708525,2012-08-26,2017-11-10,23
74887846,548938,1980-01-14,1985-12-28,4
18427274,251859,2000-09-17,2002-04-20,31
12897686,565485,1987-07-07,1987-07-21,26
81315782,337491,1978-06-04,2016-05-14,18
14828855,504629,1978-04-16,1984-03-26,24
29021575,170906,2014-06-10,2019-08-19,6
84870884,128106,2010-05-04,2022-07-21,21
94223786,460595,2010-06-23,2022-02-17,10
23152956,861506,2017-05-14,2024-03-07,12
74282188,321828,1971-10-05,2022-08-04,26
3877597,995830,1980-06-21,2001-03-04,11
37684537,684218,2013-05-15,2016-02-28,30
39522351,894083,1994-07-27,2011-09-23,26
3773569,641663,2006-05-28,2024-01-07,12
50353012,10045,2008-08-28,2017-05-30,35
98513132,201799,2014-12-25,2020-10-08,36
64795354,379064,2015-12-06,2020-01-05,22
99540714,880657,1987-01-19,2020-07-17,32
36735226,589354,2002-01-14,2020-05-26,20
41230046,628060,1999-03-22,2001-12-10,11
63401527,933634,1991-05-20,1993-04-25,27
48621276,421805,2003-02-11,2019-09-07,33
77079641,289160,2023-03-24,2023-06-24,37
3021242,29279,1990-11-01,2009-07-08,22
10650046,454028,1970-01-20,2015-07-08,4
58389897,728760,2013-08-18,2017-09-13,12
45894307,277833,2016-01-19,2019-09-27,18
86612917,482454,2004-05-05,2020-08-08,20
13755731,355522,1978-09-07,2016-07-04,19
2157268,803927,1972-10-29,1976-02-28,30
49893082,719262,1977-01-04,2006-04-19,20
89590085,25990,2001-12-09,2020-10-17,5
77651764,365462,1996-02-18,2016-06-18,11
32107460,959598,2023-05-08,2023-09-26,19
88650443,777638,1987-07-18,2001-07-30,37
60959453,332533,2001-09-24,2005-02-02,12
61027426,56244,2015-11-29,2023-11-25,5
14259932,758854,2002-06-01,2013-03-08,14
60713509,115944,1975-12-09,1995-10-21,14
25757994,791633,1985-05-28,1999-06-03,13
28609008,102616,1988-03-06,2009-03-06,14
69750869,525062,1977-07-31,2011-05-15,27
85941156,694689,1971-02-02,1973-10-11,8
56730867,79460,2006-01-04,2008-06-02,13
88846101,44022,1995-01-22,1996-04-05,35
76461871,784885,1982-04-14,2007-01-31,33
45675056,269643,2010-08-12,2014-11-29,1
16726846,740734,2001-07-07,2020-09-18,28
7774303,419789,1996-09-27,2017-02-24,9
97816902,779236,2007-10-08,2018-11-27,31
82122510,646963,1997-08-28,2001-01-23,23
63290669,378849,2016-06-05,2017-11-02,33
86815691,230640,2009-04-29,2016-07-09,37
51684029,257275,2011-02-11,2023-05-03,25
30836179,96929,2021-09-07,2023-05-02,20
19511749,505536,1975-05-20,2023-01-30,15
13527869,396826,1985-12-01,2014-08-03,6
60109161,397608,2017-05-28,2019-09-05,1
48009071,508147,2003-04-26,2012-08-11,40
49365941,543838,1980-02-24,2007-02-25,33
454843,719020,1975-11-01,2006-04-02,25
33513332,585656,1976-05-20,2012-07-08,32
39125194,960636,1979-02-02,2015-07-19,25
78201635,518170,1997-09-23,1998-11-13,27
64933470,343181,2006-03-07,2013-09-22,19
15084365,778681,2006-06-24,2021-07-11,28
19205651,542141,1975-04-12,2016-05-24,26
55834864,212924,1978-01-21,1979-12-25,31
8568791,905008,2010-12-01,2022-11-22,21
56196425,119683,1992-12-04,2010-02-20,27
54027130,539330,1996-05-05,2002-07-20,8
73755642,377029,2016-01-14,2023-03-30,22
77308976,558094,1993-10-11,2017-06-12,37
26109226,710453,2013-10-03,2014-01-04,31
85330432,684179,2019-07-29,2024-03-24,11
78784664,556213,2007-01-14,2013-12-06,22
68459354,468439,2023-11-05,2024-04-01,28
78462435,750900,1971-07-26,1974-12-12,2
48765198,446814,1982-04-11,2020-04-02,10
27617737,622107,1978-08-24,2001-01-09,11
83268335,966574,1998-02-23,2018-04-14,31
87840664,191308,2000-07-10,2020-07-09,36
32798920,602487,1998-04-07,2017-06-03,34
78610046,954279,1984-09-02,2023-09-22,13
6685244,556926,1998-03-12,2004-11-05,39
81817005,850409,2008-04-12,2017-06-16,31
67028722,221145,2011-03-09,2016-12-22,12
54645786,276297,1999-10-01,2006-01-31,20
38816986,704115,2007-01-15,2020-05-05,7
4315110,382646,2001-12-18,2006-04-30,5
32942565,92666,2013-10-01,2024-06-18,37
39501770,913548,1991-03-07,2000-06-07,24
80397953,53595,2003-10-07,2012-01-05,9
99128840,939053,1971-12-01,1989-01-05,22
67906787,346339,1979-06-11,2007-12-10,5
54151384,528361,1974-06-16,1987-03-02,1
41919082,388388,1992-08-26,2000-09-16,28
18529605,747863,2014-03-14,2021-09-12,32
83650591,720653,2014-06-23,2020-06-02,33
45628970,399258,2005-09-06,2020-11-27,31
31643165,929849,1999-01-22,1999-03-22,8
65628748,57035,1997-05-20,2005-12-18,35
72781956,510861,1999-11-10,2008-07-17,28
63255800,391496,1976-11-21,2007-02-19,7
10175265,664487,1997-11-29,2010-12-14,19
63781983,533711,2020-05-11,2020-09-30,39
68854587,619501,2024-01-13,2024-05-08,30
53001148,947263,1976-03-29,1978-01-05,10
99448268,140177,2009-03-18,2024-02-27,10
12938054,32904,1979-03-27,2020-08-17,33
34272861,755285,1979-02-23,1996-01-09,26
8151690,952503,2012-11-03,2016-06-28,23
8405334,477969,1994-01-15,2015-09-24,16
49247793,613457,1979-01-28,2004-03-21,15
23740328,825395,1996-06-24,2006-07-28,6
22749959,176370,1975-11-10,1984-10-29,36
36735226,870516,1983-12-31,2005-01-31,2
2403211,21359,1990-08-27,1997-02-19,2
67256829,125751,2006-05-05,2007-05-06,6
37851265,645440,1990-01-24,2010-12-01,31
84687524,621003,2000-02-10,2024-05-04,3
89928151,756691,2013-02-10,2018-09-02,14
5240452,854055,2005-04-04,2011-04-06,1
64995886,936543,1973-06-24,1991-08-23,29
11476389,795464,1986-09-01,2009-03-17,2
38365940,146874,1976-03-02,1977-10-29,40
76287391,505201,1981-10-05,2022-09-26,4
46601261,690551,1987-06-14,2008-07-31,14
29501392,422276,2021-07-04,2024-06-08,3
34876211,453049,2014-02-22,2017-03-18,34
95818457,72883,2000-11-17,2016-12-05,23
29279737,330582,2001-07-19,2012-02-05,40
9489298,875692,2006-07-02,2015-12-21,32
28217863,587655,2021-02-12,2021-07-16,5
13943440,817731,1993-09-22,1997-07-17,15
78418076,722090,1974-06-13,1979-08-12,10
52754592,66180,2022-05-10,2023-02-19,22
82189935,97907,1987-11-14,2005-02-28,33
56298953,529795,2015-10-16,2021-04-16,14
73446928,842973,1972-04-09,2017-07-26,3
50994816,898537,1992-06-20,2010-02-22,32
38033100,546124,2014-07-15,2024-06-05,5
58904632,403120,1979-06-12,2019-03-20,27
237654,99138,2013-11-16,2016-11-06,29
92764422,475463,1987-10-28,2016-04-15,24
86289430,270523,2007-05-12,2009-03-16,6
13561745,35517,1992-09-23,2018-04-22,10
74579168,340389,1985-12-10,1988-12-19,38
27806778,928512,2019-09-23,2019-11-07,6
49033891,828816,2011-12-09,2022-12-18,15
1156419,196410,1986-04-11,1997-07-12,24
37716866,665923,2013-09-07,2016-11-03,12
97884939,88154,2004-01-18,2018-09-10,20
40351820,990191,1993-10-12,2009-03-13,32
32609317,570480,1993-10-21,1996-05-03,38
98085891,743539,1972-11-23,1997-09-12,30
53829625,673394,2007-10-22,2019-12-17,8
20422359,625271,2001-03-18,2018-08-03,21
77257486,999150,1974-01-01,2015-10-13,35
18987054,155401,2020-03-14,2024-02-22,2
25533696,814222,1998-10-18,2010-10-18,11
68182202,342974,2020-04-25,2023-09-27,9
99223957,91770,1980-02-16,2003-04-28,12
28362926,478110,2003-10-29,2011-11-26,39
44177328,811467,2016-12-06,2020-10-03,10
28645498,502414,2008-02-02,2022-09-22,30
1903825,291512,1989-10-24,2011-10-04,19
67776796,890941,2020-10-28,2023-02-19,28
46507757,767404,1974-09-28,2015-12-13,31
16788690,454121,1999-08-10,2023-12-01,33
14701906,587056,1993-08-27,2004-07-10,33
25894054,387700,1975-08-02,1977-08-25,36
27171985,367799,1982-06-18,2023-12-05,32
25644520,755856,1998-08-29,2000-04-20,6
50668236,710800,2020-03-25,2021-05-16,15
83788614,232625,1993-05-18,2016-11-10,4
20189479,307964,1970-04-09,1971-05-02,20
99289987,408968,1990-03-17,2013-09-01,19
38434105,751225,2013-06-11,2017-12-23,28
18982325,893773,2022-11-28,2023-04-10,1
65906259,538824,2008-05-15,2010-07-27,33
71349240,201748,1980-04-05,1989-01-22,11
43757098,962269,1994-06-04,2010-03-20,10
74319613,101962,1985-02-04,1995-08-07,14
78904511,646086,2016-09-24,2024-05-20,36
80767805,565422,1989-10-19,2022-11-15,27
52050908,229666,1987-11-22,2003-04-06,36
93849612,701064,2004-01-27,2011-01-01,3
39024201,496123,1978-11-04,1988-08-14,16
62760173,197438,1983-12-14,1996-06-09,15
53557875,796208,1981-08-20,2021-04-01,8
887417,607299,1993-07-12,2014-08-12,8
8014778,788866,1974-08-28,2019-02-03,26
58383338,398272,1981-07-11,2010-05-20,33
70390106,136185,2020-07-06,2023-10-01,26
45311606,877008,2022-12-06,2024-01-27,25
49543869,243167,2020-12-07,2021-07-13,13
518563,710776,2009-05-26,2022-10-02,37
28458743,201614,1999-11-22,2015-07-01,5
53495002,698648,2023-01-10,2023-05-28,23
50481701,829676,2019-05-14,2020-06-09,40
97576518,793547,1983-03-24,1993-09-23,34
48535637,569933,2002-08-04,2022-08-25,20
43506182,475285,2019-08-20,2022-07-24,5
80121035,408141,2021-01-12,2021-03-17,11
23232422,999323,1975-12-25,2017-11-03,23
72691452,586784,2022-08-24,2022-11-28,4
32039997,227579,2013-01-20,2017-08-15,36
78523151,838294,1981-04-15,2006-03-24,7
98631081,914853,1999-01-26,2017-12-02,4
66301991,374049,1984-03-26,1998-06-27,21
66569317,431557,2016-11-03,2022-03-24,20
69357974,678697,1973-04-18,1980-11-02,25
45001664,547366,1974-12-10,2010-12-31,20
79973787,404778,2021-02-06,2023-02-11,33
34366213,2739,1985-04-06,2021-01-03,39
37200438,628231,2020-02-11,2024-02-03,27
93099453,496322,2024-01-10,2024-06-16,7
83818993,392219,1986-08-18,2019-06-22,2
91830498,477381,1984-01-07,1989-04-22,38
80630758,129946,1998-09-11,2021-01-29,27
70461542,335668,2020-11-16,2021-05-29,30
54020933,662357,2015-10-23,2018-10-11,28
63189594,582304,2015-09-15,2020-12-20,36
20043406,716496,2006-08-04,2007-07-12,5
59196602,589186,1970-10-23,1993-02-10,24
86590532,576998,2021-01-28,2021-05-31,38
79423178,319637,2016-03-22,2021-12-13,13
49535350,555329,2020-08-13,2023-05-29,9
26878734,446726,1994-09-08,2000-07-01,39
20190834,89994,1970-01-23,2002-09-22,1
22084531,90587,1984-07-03,1986-05-26,17
8646969,837650,2019-09-25,2022-03-19,21
20650444,205260,1972-03-26,2011-07-22,29
43970476,177251,2006-11-15,2011-04-02,31
2460898,734728,2011-07-02,2024-01-20,29
81601825,908498,1996-09-06,2011-10-24,9
54700639,354958,2005-07-25,2005-10-08,30
6747281,879083,1971-06-07,1973-04-02,27
21870266,172637,1998-03-04,2023-10-12,19
67048368,816928,1977-03-27,1977-07-12,28
10156808,705315,1982-08-10,2007-04-09,30
28494060,307990,2016-10-01,2017-10-11,14
39776647,205243,1995-06-01,2022-10-14,3
9930827,555900,1993-03-13,2017-03-30,3
41862281,317893,2009-03-09,2010-01-29,31
69636822,307295,2023-10-19,2024-06-15,18
29559579,652424,2001-07-30,2015-05-07,5
87579012,571670,1993-10-22,2013-01-20,35
18069637,690389,2022-01-26,2022-11-14,32
78638693,587625,1997-05-23,2016-01-19,9
14801148,294967,2015-12-13,2019-08-31,20
32545033,239088,1989-01-27,2006-02-18,27
91627641,299756,1999-03-21,2014-09-04,29
72772187,156241,2019-05-18,2024-03-17,31
19942542,460850,1986-10-03,1993-06-25,33
71369665,611083,1971-12-23,2017-04-21,24
64201202,721378,1976-08-27,2007-02-09,37
35569282,372953,1974-04-23,2024-03-20,35
77082723,817802,1992-12-01,1994-09-09,32
49383207,843268,2005-08-20,2012-09-14,32
89061824,915052,2013-07-07,2022-07-29,27
19243138,326483,1978-08-31,2007-08-11,15
25801292,155665,2013-06-20,2023-02-20,22
46415796,308715,2018-05-16,2021-01-24,6
53387871,837603,2010-02-10,2021-02-05,3
85868610,71253,1980-03-05,2017-03-13,31
1798942,565669,2010-09-16,2010-09-26,8
26296530,596113,2011-01-03,2019-07-07,10
65553827,921178,2002-11-13,2008-10-24,3
72365832,64737,1978-05-06,2004-02-21,30
27862133,189025,2018-10-04,2019-11-16,18
29019021,386940,2017-01-07,2017-08-24,5
14376024,97488,1992-08-15,2015-02-04,15
92173135,192709,2020-02-09,2024-04-03,2
89009559,201174,2016-11-21,2024-01-11,26
97771504,634662,1971-04-13,2014-01-22,14
53523564,605778,2003-04-11,2015-05-14,39
85973661,880825,1989-06-07,2016-07-28,16
14380929,797802,2023-03-10,2024-01-18,3
27948163,158842,2004-10-19,2007-02-13,32
85260287,261362,2012-09-09,2024-04-03,6
68519175,9923,2003-12-18,2017-10-03,11
