id_pasividad,regimen,fecha_inicio,suspendido,causa,legajo
715716178,Ordinario,1977-05-11,False,Market agreement do pass raise than.,96442204
390475942,Extraordinario,2003-06-20,False,Trouble water catch field.,25412472
923033462,Ordinario,1992-12-13,False,Interest author certain.,49474794
323452108,Extraordinario,2009-09-16,True,Share nothing arm matter start.,63562600
530609534,Ordinario,1995-03-03,True,Number former very type stock.,79590530
461271280,Extraordinario,2007-06-10,True,Hit tend million face admit evening visit lead.,40299542
681118356,Ordinario,1971-08-04,True,Likely candidate south husband month inside this.,10516718
340506682,Ordinario,1972-10-15,True,Back age well to these something sea none.,36581916
368468019,Extraordinario,1987-08-18,True,Much run yeah mind either interview land somebody.,28128116
300234558,Ordinario,1980-08-21,False,Industry floor however state movement including.,93622455
198572338,Ordinario,2014-06-15,False,Clearly quickly property heavy age measure enter.,270071
385488270,Ordinario,1971-11-21,True,Serve garden tell staff rest both our.,90574077
768571568,Extraordinario,2002-05-17,True,Second space ahead fast.,3300334
691257713,Extraordinario,2004-01-20,False,To back wide.,7567345
442083545,Ordinario,2015-10-18,True,Sport site threat environment environment improve environment.,31663084
464975859,Extraordinario,1971-07-02,True,Action require always general.,17294923
67842096,Extraordinario,2024-04-08,True,Person area question some order.,61779181
565199611,Extraordinario,2012-01-29,True,Data news whose use.,88711700
440428034,Ordinario,2017-08-02,True,Set when ask story former over matter once.,88860289
45642396,Extraordinario,1998-08-07,True,Development speech help day.,93908125
530863937,Ordinario,1987-06-04,False,Whose of seek speech suddenly parent.,50428885
738441835,Ordinario,2009-04-22,False,Natural agree process nation after kid.,18536455
28318133,Ordinario,1994-05-04,False,Know beyond catch woman out interview.,71728429
300437572,Extraordinario,1973-05-22,True,Program government win participant.,81489237
40691522,Ordinario,2013-10-10,True,Modern feeling training.,39334735
738384849,Ordinario,2014-12-26,True,Check black notice pull everyone.,90842384
718376107,Extraordinario,1983-07-08,False,Whose represent something director want time.,48859622
392906464,Ordinario,1983-01-10,False,Over past idea run watch.,11183882
999000591,Extraordinario,2005-12-04,True,White catch wait add.,36195488
657165799,Extraordinario,1973-10-02,False,Interesting bar challenge reveal.,8477508
780255716,Extraordinario,2017-11-22,True,Life station major gun source student inside.,95947960
477698932,Ordinario,1977-06-07,True,Fast himself experience factor raise appear dream.,82412452
680411905,Ordinario,1992-04-13,True,Drive couple memory game head light.,56661833
482427067,Extraordinario,1997-09-12,False,Hour able wonder likely.,64964669
890864782,Extraordinario,1985-02-07,False,New will hand meeting couple always buy.,49190647
159181285,Extraordinario,2004-09-19,False,Test officer explain very.,395953
946868820,Extraordinario,1981-08-25,True,Book group figure dog.,96012049
169918903,Extraordinario,1992-01-29,True,True deal hair score measure visit.,59443009
800612742,Extraordinario,1971-04-12,True,Commercial practice month daughter practice.,28704297
8807207,Extraordinario,2000-04-15,True,Prepare spend today camera probably three.,10573334
697358740,Extraordinario,2020-02-20,True,Season base able.,67664936
301801669,Extraordinario,2019-09-12,False,Expert range size require religious group.,84552037
466435590,Extraordinario,2015-11-05,True,Once enter use sit require.,56536523
249201712,Ordinario,1994-04-22,False,Gas kid claim decide several teacher modern.,56426355
11663636,Ordinario,1972-07-02,False,Have responsibility bill.,42534794
135701670,Extraordinario,2021-02-06,False,Camera owner above cell.,10472950
777324821,Extraordinario,2006-10-11,True,She military item require whose break.,28998120
441368478,Extraordinario,1971-01-13,True,Hundred else accept travel quickly.,39457881
431336189,Extraordinario,2005-01-02,False,Treat social finish listen.,39623075
5329432,Extraordinario,1979-09-15,False,Once exactly often hair throw.,56519944
440225993,Extraordinario,1975-01-29,True,Baby site air.,47048310
659716646,Extraordinario,1988-01-28,False,To may rock stay.,85932568
231587856,Ordinario,1981-10-30,False,Choose sister life well evidence world fast.,9461990
827582865,Ordinario,1988-10-13,True,Campaign customer local stage anyone end.,32189929
983487695,Extraordinario,1990-06-26,False,Agent you sort add country blood expect radio.,50891828
299376770,Extraordinario,1998-08-09,False,Coach between image.,68647258
566540615,Extraordinario,1971-09-14,True,Doctor budget attack whole wrong product under.,30884339
524197461,Extraordinario,1970-03-08,True,Whole agree practice result animal machine sport level.,14678916
928054848,Extraordinario,1994-05-13,True,Relate teach could camera item.,67775628
499245454,Ordinario,1978-03-07,True,Another mean magazine.,96144441
400832723,Ordinario,2016-09-16,False,Once fly not focus life child rule.,48721855
630680929,Ordinario,1979-03-14,True,Later from during throw focus improve hope.,64970650
681635008,Extraordinario,1984-06-07,True,Direction activity something save mention relationship.,36512483
770403292,Ordinario,2019-09-10,True,Government oil material suddenly safe.,24402576
209153150,Extraordinario,2008-08-17,False,Public hard southern war.,47639002
700276533,Extraordinario,2017-12-24,True,Single company eight fill.,19873279
845274181,Ordinario,2023-10-27,True,Audience student why.,30913311
679444920,Extraordinario,2012-04-26,False,Care discuss direction magazine.,9662992
673538481,Extraordinario,1978-10-27,True,Magazine analysis while writer however increase training.,34152486
96142639,Extraordinario,1993-05-26,False,Area attorney firm media huge.,4344884
905072678,Extraordinario,1971-12-24,False,Character president visit low growth.,43785865
202427048,Ordinario,1978-02-07,True,Price space reason election.,61462261
687690939,Ordinario,1986-08-08,False,Ok behavior her write decision different opportunity.,73685507
498888988,Extraordinario,1978-12-30,True,Baby challenge energy hundred what reason set.,15193215
957422856,Extraordinario,2012-09-24,True,Society appear chair home.,2047995
