investigacion,area_principal,categoria,institucion
668166,describe,finish,2783368688759
900792,act,unit,3467210420355
692133,product,idea,195657978292
398435,white,same,3333340215341
221345,sit,central,8694254782998
892513,note,sort,9250211147446
165761,different,I,8218199743440
764011,heavy,maintain,6720540722115
296610,plan,whatever,1147732492702
516350,reality,rest,6351164148049
324236,everybody,accept,3061628438670
568309,actually,worry,7274864225528
986810,spring,dark,4689943622043
312281,learn,military,4974689064037
643547,language,Mr,583748677944
65418,particular,defense,1485526553532
347811,or,program,7396494567141
768929,hundred,food,4477387155483
341672,begin,doctor,565602913715
404000,assume,debate,2154878922618
602487,skin,should,2563241079768
312782,total,name,9768788855593
647466,time,onto,7867072914596
726834,throw,she,9047817422671
607023,interview,toward,8507180119157
683054,hotel,usually,3368857217200
293552,record,dinner,1959009495611
162201,quickly,staff,4852739350865
2471,military,ball,2572028761778
451142,under,color,3434868866582
733157,future,teacher,3033752380357
932967,writer,become,61974554179
929334,deal,character,3247317488560
806113,simply,perhaps,1041834470494
564077,also,easy,7667662488672
496245,ball,over,7587692863033
888200,trial,little,2864627570889
487771,skill,also,4444246646916
272443,eye,power,6250186047423
188201,risk,realize,3159997817998
646641,score,face,6752036329611
598630,follow,just,9056016019304
796372,challenge,candidate,9436081127411
322659,quite,century,2635074250555
95205,everybody,player,107427039236
617165,president,boy,5867588286439
148922,whole,manage,8564185858273
616779,give,case,7957667653429
209238,card,minute,9702811285537
795922,how,second,2926647712313
674163,strong,try,6414626690369
172901,fall,entire,1571765798298
607420,reflect,team,7159953336437
44088,despite,subject,9210389049656
494162,minute,clear,7859182046627
281389,example,picture,3262019155808
175866,respond,inside,64276042082
457675,staff,cause,6195179785816
638136,how,picture,3744116473286
366990,authority,floor,2616015736012
886395,line,let,8267574430053
834971,hope,apply,5774594791064
280805,offer,course,9544756456010
984377,production,green,9658760271355
85752,want,citizen,5158418960684
963082,light,expert,4383033535868
986659,make,five,1337828911844
219804,six,pull,95117614591
1718,however,decision,8493626221814
125912,various,financial,8373964917007
606204,student,mention,2113074981817
397670,blood,carry,1653905585220
563798,reason,investment,8371682468353
314685,detail,defense,1733130503092
245905,city,college,7990914039528
76018,western,hundred,9760584121481
713322,with,sound,8405743790096
608551,former,accept,6142232203202
849252,option,catch,7346551027706
198431,worker,social,675432714144
23977,measure,great,7548601486290
606865,someone,college,7090754100849
257985,western,practice,177077991553
624815,town,hand,8497149890353
411082,represent,sort,2604274121894
57728,determine,certain,5782541400374
268814,company,still,4068057415948
404043,right,by,2782456994048
255638,teacher,table,5218531787849
931763,bar,picture,5707687147784
848987,pretty,eat,2821463137193
545600,live,billion,3116380334469
560509,collection,we,7617401212655
387829,five,build,6930665637846
11363,decade,east,4489011457297
477409,public,would,2080378755461
291834,should,both,9534290223827
341594,also,discuss,5488145925253
268670,remain,give,2136438639278
43925,toward,various,8316595438572
172273,off,message,6943668303915
520014,production,common,9626465494605
7478,against,very,3196840788353
516669,away,hit,9952215530718
89690,consumer,teach,4502995450245
173684,effect,design,6012883457571
48014,light,nice,1482922374181
822502,media,part,5990383751201
88788,hot,cell,2788902681367
140259,political,above,8402021590877
118521,around,look,298217132762
88643,budget,plant,8922540966142
556444,too,shoulder,9224430568455
501825,join,size,9507981756515
673533,just,art,7497522109013
321415,consumer,keep,9045434820067
240068,design,news,5679237402635
317521,fish,certain,772756813536
529547,wonder,research,5442956708549
599879,believe,collection,6341420886467
721417,catch,line,2397151276706
379731,computer,peace,5882456394052
284799,hot,ground,9456202909357
878191,bed,note,9917053134104
596246,summer,story,7761596026965
636881,difficult,character,4963341982728
96469,weight,onto,3841365552698
576763,describe,wall,6823528955746
911910,serve,house,8176174900335
297484,low,education,6287336693214
122467,entire,travel,4668863376844
611658,capital,politics,421668967864
795561,team,music,6355602716836
623933,together,drug,3339442981947
402409,soldier,return,8942005812507
187853,list,science,1504404799661
820204,month,only,7466749087628
548421,agent,month,7241947064891
682809,design,head,360179092275
705026,along,energy,587767417694
415481,understand,pull,399583058470
171897,ability,sure,6455712810912
129008,evidence,special,9636425457988
905035,argue,of,933212143559
364086,soldier,seek,8846666136584
329776,sort,career,6541520850821
52732,message,if,4887879332008
94766,right,check,1297975291429
464632,important,loss,9823966077178
535424,apply,matter,4636297577947
706217,industry,sort,6565106968135
536484,many,cost,2916766650252
191723,represent,recent,4897991553957
308048,point,three,6116324519723
348830,daughter,system,1951141330982
344571,why,feel,6227788080815
548984,such,respond,4974072601632
732166,occur,dream,554420592989
540259,couple,smile,6685893678286
74609,information,teacher,8982719194172
922191,discussion,political,2877029951480
719296,especially,bill,1289309667909
46329,likely,compare,7107447201949
790217,approach,against,9591667839548
41789,development,pull,9854314196199
955433,network,probably,8097701169346
186428,task,population,3483148760777
231915,room,note,8329361582427
816187,past,throughout,237295245210
66858,color,middle,4670783627127
466576,example,effort,1186331964752
648979,pressure,human,1706010383577
256552,inside,must,1485526553532
279005,friend,in,7819666474827
961605,economic,performance,9382934468633
776083,above,age,6483562621004
589228,line,peace,5745872415754
46136,think,court,3329922191326
185735,kind,nature,1444088540151
244407,past,boy,7710264689859
553955,pretty,anything,1206814918653
217064,girl,concern,1820242634034
481729,office,receive,1216078578822
608156,college,young,1071697619855
803719,none,us,9411959507765
516509,guess,ever,979172676925
608368,again,guess,6023630756047
895589,move,manager,7273879222519
962039,seat,arrive,1041126520744
999999,tend,color,592186263022
511368,garden,government,1699185569344
153098,sort,amount,872292725758
560577,community,business,202193462392
856323,whole,involve,251448490172
30938,part,stop,9296287332715
529831,himself,seek,3532381940381
28997,most,religious,9853249523086
490488,news,bit,7805857011543
450865,rate,reality,5544349903666
385343,despite,stop,8903736893560
265861,western,politics,3933574277066
873945,perform,place,6012640563327
924443,low,professor,4520905686551
630650,dinner,leg,3981263603730
831663,bit,would,9379464556525
206426,leader,a,9758304038342
881368,bank,special,4305504258116
104485,large,market,9642379072808
872448,brother,worry,8542320913324
667732,determine,seat,3486723393182
493607,sign,give,2871927893719
720716,talk,customer,9797654315357
729219,dark,program,6542204556055
867858,grow,good,2629472162048
432214,form,art,1926789591266
834842,need,open,4137501333008
126042,from,summer,2390407265628
255350,government,newspaper,1973173277405
81256,born,purpose,661178273702
766867,order,word,4936322820901
928707,write,better,2255168525351
944006,early,guess,47364877824
979204,reflect,Mrs,3856559341436
763298,significant,allow,5950948947977
954482,have,night,1667970997857
855157,board,feeling,8160790613223
403177,cold,investment,2282603617020
22387,prevent,above,6338259701245
945215,resource,admit,3373175484016
774107,pretty,possible,6868840191414
258197,last,indeed,5578201376881
445367,ability,rule,5054385582065
299281,member,change,5355986356881
32721,reflect,close,9383005624371
416547,party,school,8423865774106
619849,great,amount,3575513029038
644296,Mr,gas,9681091451259
14464,cup,Mr,8741834009583
98551,international,TV,2152989292228
126313,type,until,6376159551651
585658,purpose,much,162177563741
96369,bad,site,5917994906231
752482,information,answer,9235136352670
749170,evening,doctor,9681222037394
947358,bed,cup,5696894195751
843379,state,me,7743892630058
437094,claim,home,2864949599607
596160,not,conference,5265657325713
831913,administration,day,9940370284532
656222,manager,table,9901751256098
410690,challenge,movement,4139680141301
845065,report,common,5520721952047
976479,low,country,3595609527526
383622,measure,notice,9959516132200
745380,describe,itself,9988963103540
329725,to,health,8503049296179
934090,turn,per,5679045732674
613844,too,appear,5875698029774
711478,name,east,3602023382161
460807,car,official,2117816434233
504702,lose,method,683409247447
910278,nearly,story,1135047578170
579291,rather,religious,5086267450784
447353,decide,gas,9127297003805
153912,last,budget,3406898216098
783990,show,morning,1715101443102
274623,local,effect,6215159797477
977128,a,science,8115445233598
328523,two,money,2459104284784
742245,eight,down,3063064987907
110128,institution,your,5425284689008
851039,could,statement,8198230279285
111707,true,area,3593828389320
982645,quickly,mission,6563485446547
15806,political,magazine,757522272575
723340,girl,argue,1731778366912
33429,factor,hard,3581499182971
177105,yes,admit,1897607378018
215502,billion,suffer,8163788744932
288741,increase,person,1453923364640
50194,tax,beat,1341027293633
466514,order,where,3229241081827
911161,help,inside,6462287461238
879365,painting,off,4744632821460
17052,ground,any,4412414905308
508933,impact,total,2838746042049
166425,citizen,figure,9353768764291
410819,chair,born,3922322865442
196328,number,about,5611869093707
860342,no,road,6134142233341
856807,change,up,6097357258928
448921,box,space,9513854009335
625483,although,general,6461034172155
734943,require,care,4345203908104
928892,make,against,4166839577956
987872,need,probably,5007825282281
400001,then,past,5343590017111
79380,exactly,Congress,500694673370
524846,hotel,however,3571840382120
790556,voice,before,9729161047836
857255,suffer,suffer,2629472162048
610059,often,former,5593435029405
695713,thousand,check,3846294314951
826907,read,job,9786925516627
242582,which,central,4549784658784
10586,campaign,small,9671866028857
523268,reduce,suggest,5989139044962
752064,much,law,9887807505920
918080,present,something,540928129530
533359,late,family,8384909975346
918542,system,learn,7805857011543
323540,similar,feel,7258466730156
379203,often,three,5439671259481
598220,couple,skill,5063165464264
716652,wind,one,8073110956315
291883,argue,or,8130403259976
715436,many,music,1497889976347
339209,government,simply,8575360035306
594087,focus,skin,1079926034778
812673,choose,line,7392866643173
544674,black,will,6993790968978
550603,writer,without,966423884376
835375,recently,may,8237419297294
481523,high,industry,2428697852579
183166,skill,plan,1111717218751
221841,detail,practice,6111771386486
873635,ok,believe,7700804098243
737371,majority,voice,7491954876238
361084,operation,early,5555245219897
604040,red,these,4398905010826
407424,realize,baby,7388830306103
468506,blood,open,7973632546879
51611,voice,no,6699563503120
558076,born,market,8794702817999
728475,could,sense,3824923184272
245145,if,summer,9971886681113
744175,she,suffer,7084800204320
392388,theory,think,338882525101
131203,water,report,3912158585213
393380,course,our,8077923856567
549342,center,role,5505131438755
72670,prove,buy,1265770308710
975684,plant,right,7149312796185
888763,ever,wall,5821760122717
712481,interesting,process,4019727095661
906072,leader,season,8315575212104
855782,interesting,language,8033797666659
876623,TV,pull,4961544498063
982291,better,perform,6801271653964
197965,blue,series,2307052543460
601361,indicate,turn,5824075057438
923938,to,order,886806995136
796901,article,half,833647469239
882357,money,forget,484105587562
308306,than,second,1664850349566
399762,order,several,8984032793538
316898,choose,perhaps,8397049654916
70134,he,prevent,13461345251
23548,manage,plan,2512850179286
361117,five,skin,7896573677473
561826,have,knowledge,7192459109152
359810,sit,here,5488100534134
81403,garden,sell,451341775430
484687,away,sense,811377212899
15327,buy,value,1531030081518
951878,natural,threat,4972916960577
475767,trade,fight,8123090386586
702737,then,to,9901828377544
470283,particularly,water,7683106314412
625465,practice,grow,8542053959910
350444,evidence,smile,101849675223
90090,worker,hair,5508642500388
127921,must,must,7186205723862
113880,reality,him,83888878428
709985,case,suddenly,876180336600
104310,here,western,560676484347
564437,foreign,rock,858000440220
364562,street,but,824071224042
877843,should,southern,7995146856483
471627,rise,nation,4167238245972
501209,alone,range,5603998758394
878929,billion,cell,7504964373786
575501,determine,phone,7224931672605
922309,accept,environmental,234066522063
139869,back,system,2093403818773
536046,themselves,name,6283317752169
331482,north,moment,7819666474827
443323,few,expert,7547405488391
959878,sure,face,4739691212570
15988,throughout,whole,976107930445
296146,already,individual,3180316441662
518482,only,rise,5894060599649
997416,always,sport,3298033320420
686057,article,then,8207726217484
51480,early,unit,8759208267148
617859,drive,kid,8298573943824
424506,series,center,1095450828622
494848,there,space,1613225377634
212124,hospital,foreign,8032431681585
708047,democratic,development,296491212108
523740,more,add,3781324531173
301693,nation,inside,4704710241233
522907,quality,school,5803835894851
882445,form,debate,4077304569354
419139,may,brother,1641230835763
607317,end,get,7987505979644
250441,enter,laugh,6739479838585
245837,star,than,8718362312911
67283,modern,court,1584363098777
687432,better,whom,7987505979644
212391,year,page,2674746308219
625406,enjoy,knowledge,1764427058498
72698,ok,miss,6065220106680
596489,last,production,7433279260215
877516,seek,affect,7133253093084
252276,board,value,7439586619331
362933,eye,seem,6489144327459
856119,baby,research,7300928072365
415247,professor,bar,1935184952881
432439,food,agency,1819986942048
271022,case,lose,1596623929640
426009,discussion,near,1469612539484
216800,fall,kitchen,429244116892
148475,note,example,6662985087877
58310,heavy,claim,8957488754058
442912,ground,material,4728216698533
259668,really,guess,5505131438755
135343,able,whatever,7417320019374
134579,a,direction,6328353510975
912774,college,year,804326152976
338764,wall,let,9884256901461
70920,story,travel,4550920768378
191245,catch,beautiful,5946942355460
970557,page,while,153453187754
650277,culture,cause,1901904258633
560387,stand,lay,5219117201882
954935,room,mention,1024800246967
342561,peace,house,5275985567633
315124,benefit,everything,6630127659952
634218,though,stay,8384630623419
785223,service,effect,3466109291794
166035,yard,trouble,4698460005272
989857,term,good,2799443750726
424601,news,look,3560218581130
557284,design,one,4727939403674
937456,dog,require,5793623654210
461878,bed,summer,5796685097664
858003,so,real,3279349409694
242174,something,law,2815231059027
49750,score,increase,417365488751
60142,stuff,none,7605469514730
9974,public,would,4955424150389
787165,drop,answer,8178128949595
914230,ready,available,7882944344693
576905,item,performance,94628289474
599805,mother,everyone,6897386591276
737277,exactly,area,2608285128767
931970,show,clearly,6695636428588
719445,theory,themselves,1506903580203
830592,child,true,9029531754994
677945,represent,American,9939940964714
532341,me,among,5679045732674
215076,television,four,8293349250549
440693,generation,over,968582871668
886100,house,example,1125534219443
60627,suddenly,shoulder,8371444860136
58367,official,way,1093340805695
90946,down,must,3155980005061
230099,only,close,4430380279121
536939,garden,note,8812254212202
868383,mention,method,2891553866472
63609,anything,resource,5229728313323
575217,area,just,6245232819583
790088,doctor,test,8068823797945
886209,car,suggest,1016365183029
293995,wonder,realize,6280520515301
616700,have,threat,567199018098
421891,can,everyone,1210942594556
3423,remember,million,6277514997715
109416,eat,a,7780116189727
796002,reality,realize,2676556577813
100377,physical,meet,1490418882892
573633,might,care,4420185511647
509908,time,radio,6392078085131
239966,sit,everyone,371309725391
270723,hope,at,7136384207346
987650,end,for,3904654245087
457945,certain,lose,144926403725
350058,get,speak,6773370557959
428243,require,provide,4576051466781
552138,morning,reach,8373078257655
51731,policy,ago,4147178425607
104451,push,vote,3996654949975
336914,interesting,tell,3969041547519
39153,traditional,painting,1633363056253
639875,reflect,cold,4960270312876
798030,hold,into,1812870568073
576957,two,commercial,4585831335598
182159,protect,part,6721814098866
101602,leg,seek,7076086104791
800411,defense,claim,7171886207746
537236,cell,deal,7873987447136
200924,practice,small,438152815983
937573,study,yeah,7413506964684
548058,and,reality,7000086024549
948134,late,on,756394259957
331480,now,prove,437274304404
764292,drug,sister,3895206884387
507547,world,value,6669232235331
365846,ahead,store,4960270312876
592047,effect,realize,6705618841357
735538,hope,claim,7657441095992
854125,treatment,arrive,4068751976529
427474,keep,Democrat,5940724091292
366753,top,attention,2129205903030
474672,project,remember,4984631714731
815441,family,never,6594485253914
964401,same,couple,926454064369
250399,center,senior,530205569940
785610,finally,life,5040893768013
76741,camera,box,4417704459347
464647,walk,religious,3767283247195
982394,particularly,support,8138529558771
926772,certainly,others,4334274794129
478765,for,join,9576793727507
970543,true,explain,2955475499412
708417,good,someone,4005832483424
154979,PM,face,1006226898784
628352,explain,cold,2260304029147
604200,speech,professional,4287185073245
741747,care,military,4250307452617
924773,bring,west,6343884901127
929603,become,street,1353588070235
424581,report,professional,9126150516362
610309,statement,fish,1660184209259
729271,simply,wife,2492339494328
297128,structure,piece,965053957402
318584,low,nor,3598240389397
413871,employee,maybe,7906491133407
98662,water,heart,9331747670674
455859,Republican,Republican,7980765152278
451419,factor,my,2551358796517
126998,detail,enough,1161361637254
259143,put,story,6610245026628
106322,data,remain,2632224946241
638676,agreement,often,8686262990146
237228,lead,sure,859290493172
295589,enough,fish,8751095776578
523940,system,six,1025349459564
432236,system,fly,1883184968101
872394,test,law,5711595236383
699289,stop,federal,6404910543367
973748,stage,ahead,7577638115425
628231,tend,every,9937972368326
984241,myself,can,7577576462000
64546,memory,order,9598991256189
959285,late,hit,7386687985606
28499,girl,here,4971023156445
639354,civil,receive,8699380190418
990261,cup,task,6656183249074
576508,increase,through,493369625245
301027,however,near,8095523555474
134245,toward,program,5894939303109
917980,section,career,8022394705469
614175,father,anything,9116649116192
992726,former,early,2044495074367
392427,song,factor,2023298528746
315035,our,raise,9352393100628
49549,let,program,7392866643173
666069,morning,pay,4480059144636
159116,wait,question,2604217920926
541812,shake,show,9203285760111
38208,state,cause,6623693287422
590590,simple,box,5920058016876
146401,plant,relate,5990107924835
69604,opportunity,notice,5753264946094
192852,north,dog,8570253878805
227358,why,cause,6627124398644
588812,news,detail,7477365522858
444943,we,down,2182994901600
598185,public,trip,5660465801526
102127,sound,agency,6491854424424
191010,newspaper,increase,9981894769776
738035,computer,second,5836399757843
855572,expect,way,379278161394
584615,response,feeling,4295859313361
307516,direction,paper,7641073277235
299412,rest,than,2005498187469
7134,join,record,960715629557
838468,add,tax,9457946558940
757318,main,physical,5165646487797
505302,we,exist,2902355854250
192181,probably,speak,1328528119863
908438,toward,space,2527586458984
755275,decide,as,6224934156033
559257,meet,two,4098328130157
100178,hotel,growth,3398802542019
129753,spend,certainly,3814308770657
169082,yet,prevent,7306013635814
777406,thank,eye,7528679403140
394424,fight,town,5210584617644
26603,police,say,9363163688330
471069,thus,wait,3097024538241
203672,oil,upon,4605018550487
489524,space,less,5655237549620
282781,table,technology,4849123191074
642602,matter,degree,7322410657420
81823,back,say,6244709801750
991487,either,statement,8939636006045
558094,baby,seat,739376399493
566603,heavy,relationship,8675544510831
370983,girl,president,8584170972744
547282,sport,during,6054928397253
883570,believe,yeah,3974634542912
116101,administration,measure,4515917265326
699372,could,economic,1515459302113
869466,heart,rise,2975714515773
213828,office,fund,4400320915900
893392,career,trouble,9620623950052
683860,hair,section,7546066813910
136670,be,court,9258034296240
759766,worker,step,3409373442370
197765,debate,middle,9356355089047
122771,maybe,program,7011744167982
906488,want,paper,8925115813029
960989,such,measure,8321438714281
57615,agent,remain,7119197819937
874700,employee,offer,3278040426373
180893,store,party,1665560125537
414633,house,her,290846667936
398544,bill,water,5593435029405
191637,another,make,281407224978
501598,one,my,8540257825297
648194,movie,wear,5124561741369
161881,operation,central,1365318026005
100342,summer,action,8839077583519
127213,glass,professional,5274254692546
721305,as,ask,4182615890347
201585,responsibility,stage,9108756372413
71947,white,daughter,191497205487
38158,color,science,548798041376
224348,pick,order,3330641321601
966638,image,painting,2293389938234
76808,trade,feel,9235136352670
146405,result,board,9352866339910
143891,figure,financial,7205911088808
318171,deal,guess,9864737552614
11629,enjoy,task,281968729126
178571,inside,trouble,127457566875
123103,figure,few,7915555246951
436392,wife,short,1269032852568
743816,exist,include,5987799128283
303153,new,across,7835016622333
524137,there,development,9002824783977
155930,success,air,6657882542037
728596,soon,ground,1840372637215
898537,else,agree,4365589573820
929353,TV,these,9471938982097
139155,religious,interesting,1589028347199
541407,similar,politics,2876310656167
820827,yourself,for,8763916538080
991423,start,radio,9697871450063
632549,method,floor,6964153503416
685050,interest,about,1771034656312
114971,people,paper,9351957847690
46467,nation,break,5123181251544
870042,wear,teach,1262519429259
208075,defense,rock,7837593019641
762010,peace,even,1448657694580
814503,many,research,4936346143278
340093,American,about,5328354216632
902182,protect,structure,2895284596174
755342,all,amount,6434924935201
525658,main,officer,8170435095812
533711,myself,seem,2446345901737
573367,direction,region,8888508669054
779662,of,court,9842377701155
170187,must,main,3436024061558
738658,fire,reflect,8769471902945
460691,better,all,8869133847092
37904,either,room,9876264176357
10114,fish,bill,1995616852776
764016,turn,building,1133904047857
506306,business,he,9844543158015
413312,agent,main,6418339815020
456249,fall,break,3119872859730
92456,sort,apply,9679580136221
370404,I,place,13966424371
458776,region,plant,8111693722881
977241,customer,perform,2029982101249
934727,certain,old,6549092506811
518376,protect,more,2551358796517
347754,student,dinner,5242999183770
332120,financial,accept,338615880485
893745,send,fall,4216208370774
604233,involve,always,7894382158987
693157,leg,dark,6179554717580
649560,source,term,9567845811680
44144,Congress,simple,8540940979027
228127,stuff,heavy,2687271842082
958364,agency,name,2959397624139
168437,show,two,6429515575645
838604,campaign,expert,8806830633519
661675,of,rich,1097475383000
137246,forget,at,8534791577579
80545,anything,risk,6459907330284
509487,reveal,charge,864622293841
79496,town,avoid,5763657228831
926161,forward,house,8345889585635
289942,discover,fine,3581499182971
119929,add,pick,8577936285262
19364,election,successful,1620368126012
846869,these,best,2737227947232
279486,Mrs,issue,2533081471902
844120,million,figure,1169286163423
645949,door,its,4733378187826
257771,according,picture,512087207557
781912,interesting,almost,7548601486290
780970,fish,while,6713843531785
339852,military,beat,4216444658267
796894,body,campaign,8800176871423
136714,key,wind,4572124434437
981469,news,anything,7068213760589
319340,even,understand,3683304414297
617143,dream,sell,2119480334821
22547,move,loss,4839754610381
330793,them,hospital,4853922109095
295315,activity,true,9672425665646
361313,as,yes,4900992501451
26604,public,force,4904902706640
765966,past,item,8900450129163
89612,indeed,begin,8074597769436
705022,source,avoid,6495235446623
877229,option,particular,384623810223
723192,action,to,943272863580
663735,piece,example,6412663722330
602217,here,because,2791772711303
768565,sure,mention,3999362466182
103509,give,fight,2007407546320
64441,they,approach,5586658249739
790713,join,run,7344303870358
661100,simply,talk,3646401265161
531953,develop,soon,9911459172293
915223,action,term,7489283756938
140170,sound,least,7658949970395
733946,his,leg,3399196640785
916388,cultural,himself,2113074981817
787975,all,account,3708681501050
877211,by,traditional,6603437880342
792129,scene,notice,9469288207132
677291,film,writer,7625581661993
538746,force,push,3322901361879
648561,suddenly,should,1375294630974
931187,central,continue,7575809533292
602860,dark,challenge,9673710688335
865978,tough,shake,9589892349548
40196,trial,art,5826097914057
208404,wish,decision,9902000106010
379167,analysis,thank,2300097292590
540167,risk,role,7241947064891
755975,edge,follow,7833253143501
59702,hear,of,2204953141537
307897,produce,seek,9007899444665
310342,herself,subject,2423036081531
206129,all,food,9886845920071
27126,be,especially,545156582838
916133,face,very,442342663719
869068,senior,specific,9991902489217
334175,expert,audience,2231838272390
776942,offer,happen,5179420469689
677869,better,nor,1650421822876
793346,teach,into,1872208798114
272873,that,tree,6252378958900
254452,born,trouble,8333684174608
496074,describe,person,5673603806490
759806,record,piece,3810870186533
521636,hair,nice,4068483059027
634018,myself,where,995399700142
843268,center,not,8470592367834
111281,major,present,3566413938816
248050,man,care,6355602716836
156901,individual,central,4798532717929
179089,leg,condition,6538746564040
447467,business,reduce,2000667727589
160201,suddenly,painting,1485806869529
767453,special,onto,2842783613470
498251,interest,upon,1069706632989
122864,idea,since,3197542205985
