desde,hasta,id_actividad_ext,Legajo,dedicación
2000-08-11,2007-01-11,89618480,33530279,4
2015-07-20,2021-11-26,68757933,27018916,10
1997-03-10,2008-04-20,92286006,39212694,32
2011-10-23,2020-05-08,91709871,33429101,21
1999-10-27,2008-12-04,77203512,86849664,9
2001-12-05,2024-01-14,81184059,17153155,39
2016-02-02,2016-04-14,88897457,68930547,12
1985-03-16,2007-06-28,28770413,61474024,3
2011-10-27,2021-07-18,80169668,51821275,37
1972-05-10,1975-09-21,32454552,75669025,31
2011-09-13,2014-05-02,74073735,32890902,13
2018-11-25,2023-05-17,35152220,29153762,18
1976-01-10,1988-06-05,22309025,51228726,40
1998-06-20,2007-10-03,34568507,3455194,2
1994-02-07,2003-03-22,43312140,60690836,30
1988-09-04,2015-11-12,69207037,60536430,11
1998-11-07,2011-09-13,44839779,74583259,4
1994-05-14,1999-09-28,98230026,3457366,39
1974-04-17,1990-11-22,30247445,23283092,40
2011-10-28,2012-06-18,98757896,42999724,4
2003-12-26,2023-03-17,56487824,92201185,30
2012-05-01,2013-10-25,71010822,50945074,13
1978-12-17,2020-11-14,53764006,58720343,38
1996-06-12,2003-07-06,55935236,4673330,2
1990-08-18,1998-12-24,23969274,53192277,33
2003-04-01,2016-05-11,85118205,47482112,33
2008-08-28,2011-12-14,28599354,93448037,9
1990-12-18,2016-08-03,72722175,39608359,12
1985-01-20,2005-11-01,3862158,89644027,16
2014-11-27,2023-04-22,11075493,36652741,13
1990-06-25,2001-07-21,11395130,76322362,21
2019-12-12,2021-12-29,88671266,19391273,39
1994-10-27,2016-08-29,99967287,60446198,4
2012-08-21,2016-05-13,62276390,76801839,28
2004-04-13,2014-11-27,25818488,19130273,33
2012-08-18,2017-11-27,93770718,53994734,11
2003-05-29,2006-08-20,50909224,9599872,18
1991-07-21,1994-10-11,50787643,16429266,4
2017-04-23,2022-02-16,76849145,87334356,12
1996-09-01,2012-01-03,39803749,36629978,15
1976-03-28,2019-11-04,64922369,85575482,2
1971-07-19,1993-07-20,9703286,70485730,17
1998-02-08,2022-09-07,84757211,9379695,10
2003-09-17,2023-10-01,8050325,29326894,2
2010-11-01,2013-01-08,76331629,11562713,22
1992-02-04,2012-09-25,41533129,34409838,13
2024-04-23,2024-06-12,67417535,72117386,24
1984-02-09,2024-02-08,31461489,9036332,38
2001-05-24,2003-02-21,81354619,9890442,21
2006-08-23,2020-09-04,28610131,33401831,8
2014-08-31,2017-05-03,12747074,39338584,16
2014-12-03,2015-07-16,87051354,83046328,17
2020-05-17,2024-05-15,44529599,40468330,24
1978-10-05,2022-10-09,79857651,23200772,25
1986-09-11,2022-07-31,31777212,31162757,36
2013-11-14,2020-12-01,23620138,41720494,2
1989-07-16,2024-06-10,77942473,46276165,4
1992-02-26,1999-07-31,23182531,21437478,1
2014-09-05,2016-03-14,51207755,67035125,23
1999-09-24,2002-02-11,63072155,61717379,4
1970-01-14,2011-11-14,43581508,84886857,29
1980-09-24,1994-08-04,15707166,47499465,30
2018-05-03,2022-05-15,9201239,10018302,6
1974-02-11,1981-12-13,32028140,28755815,4
2011-10-23,2018-04-02,48671469,65640941,4
2001-04-09,2014-01-21,93035832,35895545,25
2003-05-15,2008-05-07,96386688,77062451,1
2022-10-01,2023-03-21,70820901,31764540,12
1995-11-02,2018-06-05,94117143,97569338,8
1996-03-15,2013-04-01,38333276,12405261,22
1997-08-22,2001-08-17,67688946,25360120,13
2015-03-25,2018-03-27,7958734,78081099,28
1998-04-27,2004-05-13,9299804,28085837,29
1979-04-02,1980-10-06,89247040,63222479,5
2020-05-25,2020-08-03,777487,36426417,2
1996-03-08,2011-12-16,2184209,91297473,18
2008-02-26,2017-01-05,88225392,54384524,13
1990-04-22,1999-08-06,82365916,19228902,3
1979-04-21,1979-10-04,68472293,45611399,27
2014-01-01,2018-09-07,76524900,95359400,24
2019-06-19,2019-10-18,42981657,78472334,22
2023-07-07,2024-02-03,16999095,68354863,6
1988-02-10,1990-10-22,7715829,98274877,35
2002-03-30,2011-10-31,55357810,60883282,39
2016-07-14,2024-02-23,23213439,7537101,35
1999-12-04,2020-12-09,15823638,33094720,27
2021-12-24,2023-12-19,42323391,3316021,9
1972-05-16,2012-08-21,56472594,17142789,14
1996-02-16,2008-08-02,25941004,75716598,12
2012-10-03,2018-08-27,98021311,14625697,14
1972-12-23,1988-01-13,70770814,35033543,2
1975-08-01,2002-01-15,56562494,78052446,16
2009-03-07,2015-08-28,77626306,75076314,10
2011-06-11,2019-12-19,50753780,40534992,8
2003-12-09,2011-05-31,34723036,36247617,18
1971-08-22,2011-08-12,38319654,43125919,26
2023-09-27,2023-11-14,74400560,84511203,18
1983-09-25,1990-07-24,35557784,11378930,17
2009-10-26,2021-10-05,72396545,52430742,37
1981-08-16,1982-11-26,80059976,44847330,33
1972-05-14,1993-10-29,59540973,55240743,9
2008-07-03,2021-03-10,57690671,69712477,14
2019-05-06,2020-01-22,5393119,17240935,5
2002-12-03,2021-09-01,73555056,37037086,31
2003-02-20,2013-03-19,7966243,27039179,23
2018-04-14,2018-10-14,39288892,15524679,7
2015-12-08,2023-09-27,87899155,90261802,28
1980-02-02,2002-07-25,30505694,86128474,40
2021-08-16,2021-12-17,26019549,87272694,11
1978-10-05,2000-09-16,37734261,66863921,11
1987-08-06,2001-05-20,39429414,91830521,14
1976-06-10,1998-11-03,11614632,19422901,10
2017-05-30,2017-09-01,97989878,92179625,9
1988-02-04,2016-05-04,70977523,1653118,9
1973-04-28,1991-07-22,69458460,61077049,22
1998-10-10,2018-03-20,65923673,19230733,32
1979-01-12,2006-07-27,66306751,64567666,16
1984-09-24,2008-11-27,61142834,20188358,33
1978-08-29,1990-05-04,19229914,57748757,34
2014-01-04,2016-02-27,29503680,32027276,36
1993-07-23,2015-02-27,56215467,30437181,1
2007-08-25,2024-02-29,65324451,74481258,17
1983-03-09,1987-07-29,91811283,32209616,33
2005-05-05,2021-06-08,97657173,85346108,37
2007-03-20,2018-08-30,3154430,35915720,36
1971-08-31,1974-04-19,48785115,68066307,2
2012-04-19,2021-12-08,74997157,75652927,37
1989-07-20,2019-06-07,99412715,83504768,27
2008-01-07,2012-04-03,68275193,46458008,32
1970-04-28,1986-08-30,26587356,16183021,24
2003-01-21,2021-03-13,61602576,25663381,25
1973-03-11,2006-05-02,99217539,23382586,17
1988-11-14,1994-04-30,82634138,32231122,21
2013-10-03,2016-05-16,62249930,83988939,23
2008-08-20,2015-10-31,19492257,98576537,2
2005-01-13,2019-10-16,83063923,42350378,28
2008-04-05,2010-03-19,25522764,81069820,27
1981-11-06,1998-09-04,41823291,41124075,16
2016-10-29,2020-01-16,20296249,17761581,32
2007-09-24,2008-06-07,65187974,35507470,16
1996-02-09,2004-07-30,43305255,20437031,7
1993-11-29,1997-07-30,71384790,9758723,2
1989-03-27,2004-01-22,28454151,93189338,11
2022-07-05,2023-03-08,40004922,34591676,21
2022-08-10,2024-06-21,31889319,90888613,3
2004-08-16,2018-03-22,18388412,60421155,40
1975-05-30,1994-11-11,83260353,33497131,17
2009-04-27,2018-02-24,70022645,45137492,29
2020-07-02,2021-10-03,67047420,77120786,6
1972-02-01,2023-06-24,72919559,65265236,32
1975-09-02,1990-03-09,18693902,8228173,32
1986-02-02,2019-03-03,57755254,98539292,26
1992-04-22,1995-09-30,68028516,71817743,31
1981-09-21,1984-03-31,86132760,86384299,40
1984-10-05,1999-12-20,72723128,15169818,38
1981-02-18,2007-01-31,76336532,8945787,34
2021-11-26,2024-02-02,38487538,90909933,10
2008-05-31,2014-04-02,15282730,97233636,22
2012-05-04,2018-09-25,1960199,48873734,8
1990-05-26,1991-09-15,82799867,46804721,17
1972-08-12,1982-05-16,4457437,83015013,7
1976-10-25,1986-06-03,73252178,14937563,36
1993-04-14,2003-01-23,46723527,41336908,39
1997-03-02,2002-11-09,48140027,26169967,22
1983-05-28,2017-09-22,99412433,29533058,22
1997-05-15,2002-05-08,40374555,52430742,38
1997-04-07,2018-08-16,97926247,77400526,1
1995-03-18,2023-08-28,12371713,23624148,2
1995-05-21,2019-01-16,48412021,63614599,30
1998-06-12,2007-06-17,46023460,56120621,29
1995-03-13,2002-06-24,28268999,89113064,11
2021-11-22,2024-01-25,5886123,37716866,1
2001-10-29,2005-03-15,34648184,69364321,26
2015-06-01,2019-04-04,44613941,49969917,14
2000-10-19,2014-12-08,94211316,74843675,28
2014-08-12,2024-01-28,20747501,33664680,7
1992-02-15,2019-03-05,45523051,87942822,17
2006-06-06,2013-03-11,76120679,34993103,15
1982-06-28,2020-10-24,98997602,90312926,11
1993-06-23,2011-07-12,60202200,76749805,14
2011-11-30,2012-05-26,28498968,54466096,26
2021-09-25,2022-09-15,65705888,99339884,37
1978-10-13,1996-08-22,11899123,82149261,20
2018-02-24,2018-11-05,81301462,32195397,3
2011-11-19,2022-01-20,65228357,23418210,32
2000-08-18,2022-08-10,31500724,90623301,24
1998-02-09,2010-09-28,28184485,90158438,27
1993-02-24,2016-03-14,95731837,69734311,14
1979-04-10,2010-10-10,30415520,67419398,6
1976-06-04,1997-11-27,20703293,90872356,7
1996-03-02,2004-12-04,80581754,3474947,10
1996-12-11,2016-05-16,67423960,23580264,31
1987-06-17,2006-09-20,1283786,72379170,18
1984-09-10,2012-12-01,83214059,21376570,39
1972-04-04,2005-05-24,24317291,78341403,28
2011-05-24,2014-02-10,68970829,28256223,1
2006-07-17,2015-05-31,93903115,27596079,8
2007-09-02,2015-06-05,14886475,71952889,18
1985-03-20,2011-04-22,97156093,29197453,11
1994-04-18,1995-12-16,99107580,91529788,24
2000-08-19,2005-09-22,42554637,1239431,31
1982-08-28,2012-05-29,26143454,85313331,21
1991-09-16,1994-08-25,51730262,88389591,28
1982-02-21,2003-11-22,93303059,31769772,7
2021-03-18,2024-02-22,6954793,99223957,2
2013-02-19,2013-12-11,43945795,96584863,28
2019-10-21,2024-01-19,32978016,10611622,25
1980-09-26,2024-06-11,86199373,38416550,25
2005-07-01,2016-02-19,48298180,23176025,18
1995-01-16,1997-05-13,2072705,63372408,30
2011-11-17,2023-07-28,12451908,32207875,36
2011-02-19,2011-05-09,31678776,47214188,5
1992-09-07,2015-01-21,31481751,55229208,36
1992-03-20,1996-02-17,26643275,15303522,31
2013-04-24,2024-02-22,88652019,8297832,18
1985-09-15,2023-04-12,23168908,7608825,8
1973-07-16,2003-10-25,95262209,17615575,25
2007-05-21,2008-05-30,3018641,46184157,1
1981-05-20,2006-11-19,86601807,77728631,26
2018-10-18,2019-06-08,78328628,27391047,9
1988-09-29,2022-12-09,5457101,18372731,36
2008-04-04,2017-05-17,54656321,33306518,34
1991-11-19,1999-01-08,64647929,96517376,36
2014-09-25,2017-07-24,68730595,19091368,26
1984-08-16,1986-09-10,1525715,52970427,4
2009-09-09,2022-07-09,54262794,92051720,39
1975-06-15,1986-03-01,535610,60546417,26
1997-07-19,2020-01-05,20956289,18147049,7
1979-11-20,2002-08-26,75163361,15524679,22
1998-08-01,2000-05-14,77392437,41548936,4
2012-11-18,2022-03-01,85827038,16823279,6
2000-06-11,2020-04-25,18973143,4121914,29
2002-03-19,2008-01-06,87705435,6793044,39
1994-04-05,2019-05-01,48401917,55830872,29
2017-01-02,2017-01-25,73719456,12205784,40
2001-08-31,2016-01-10,87199922,85296758,13
1985-03-05,2011-01-23,50480999,52851415,23
2004-09-23,2009-11-17,24195837,48042300,12
1988-04-02,2004-11-27,14483745,23913481,37
2014-12-28,2016-02-01,77325701,31091286,12
2001-04-21,2003-08-18,39346138,92573040,26
1998-07-10,2007-01-27,11700779,92998103,13
2009-01-29,2012-10-10,73004298,45643928,2
1975-08-26,2021-06-04,86850873,43124479,19
2011-05-10,2023-09-29,86864033,90181542,29
2012-12-26,2021-05-11,7414966,20315678,34
1979-09-30,2014-12-03,22674351,32566691,7
2013-10-25,2024-04-21,31054122,99133514,3
2008-08-23,2020-01-01,97567978,6937938,7
1977-05-05,2010-03-09,69724913,15499157,9
1975-01-05,1995-11-14,6424736,85155757,10
1972-04-02,2012-02-12,49062376,84020225,35
1989-02-26,2004-03-22,55403726,3441512,5
1976-11-26,2013-08-13,93486534,73458596,9
1975-04-15,1988-02-14,93478009,48250622,19
2004-09-27,2010-05-04,51448547,23685353,13
2023-08-13,2023-12-01,61834699,20991992,2
1979-08-25,2004-06-01,84037934,59125819,29
2008-02-26,2012-02-01,79500235,6675880,29
2011-09-15,2014-01-12,48521379,42162144,8
1974-05-08,1991-04-07,32841652,57877666,2
1991-06-17,1996-09-04,45222467,72607321,25
2002-10-24,2003-06-13,47926741,20099291,23
1994-12-23,2009-04-22,35967601,68636552,7
2008-09-05,2012-08-09,47717157,75112643,13
2021-02-02,2022-01-23,37427052,82854878,20
1995-06-06,2008-01-21,36252449,12698150,35
2011-05-28,2023-08-23,85948426,85019255,26
1971-04-01,2024-06-21,40963318,92114438,34
1979-08-15,1980-07-06,95267290,21223293,37
2008-01-28,2009-05-26,85412901,73072932,28
1974-02-02,1976-03-31,15997185,33700105,29
1989-02-11,2011-06-06,67263881,74539499,28
1982-08-03,1999-07-20,97766052,75480276,28
2008-06-05,2008-12-05,87051849,68093175,38
1970-09-26,2019-01-12,95433233,85149217,18
1993-02-09,2018-07-22,88678903,8278093,29
1979-05-08,2008-03-11,42952008,2632254,24
2011-06-18,2018-03-09,6675173,8102145,39
1977-06-09,1994-02-25,56466377,25685645,26
1999-02-04,2012-10-18,75418130,57949161,23
1987-02-08,2020-09-27,52668514,93333805,26
1981-11-28,2008-04-25,79135074,43728191,23
1991-08-31,2024-06-24,6672119,34795578,3
2015-01-08,2022-03-08,3383431,24077957,23
1984-08-25,2021-10-20,45465826,79581335,30
1983-01-15,2019-10-26,12102787,91092370,14
1995-06-22,2013-08-17,45574817,51634711,29
2023-07-16,2023-11-03,33852373,33439633,22
2017-09-14,2020-01-28,64210914,63076575,35
2006-11-29,2012-05-03,49347055,58457974,6
1998-12-18,2021-06-11,97977869,51217862,31
2016-10-03,2018-03-29,49098027,92294499,24
1975-08-20,1996-11-27,32012423,88808815,37
1972-04-06,2020-12-18,12868247,26685868,3
1977-12-10,1987-11-13,53495376,19389565,5
2023-04-26,2024-07-01,62812390,4115333,29
1993-10-15,2016-03-12,90097680,56343463,39
2006-02-23,2015-01-28,28215422,13985766,36
1993-03-12,1998-10-05,86357130,16326927,28
2013-02-14,2023-11-29,3902034,2248754,6
1982-04-12,2022-06-03,16193049,20648074,15
1990-04-15,2021-07-02,73476419,97787323,37
1994-06-07,2006-06-29,49276225,87431695,29
1988-10-11,2016-08-06,79079648,7706302,35
1990-09-06,2006-04-08,49931667,28857340,28
2002-02-28,2016-07-09,29863173,26818566,2
2004-09-18,2013-07-29,2098904,31257192,18
1979-01-20,2023-04-25,47608666,60386561,37
2006-05-28,2016-11-20,8291845,12125638,9
1996-07-16,2009-12-16,75821936,28383479,19
2020-01-11,2021-01-31,63772226,30955350,17
2021-09-14,2021-12-02,23339891,6426983,12
1992-04-24,2017-04-15,33190934,93420167,18
2015-08-26,2018-01-07,47303091,44719300,31
2017-08-16,2021-09-19,2552196,48110834,7
1972-06-24,2023-10-13,73706472,45125698,9
2018-05-24,2023-08-19,74179574,37243969,33
2019-01-13,2020-09-21,90818055,92353122,13
1972-03-20,1999-01-16,96878493,39060520,38
1970-01-19,1992-03-05,53333921,25412046,38
1983-03-26,1992-02-05,8529492,49927914,29
2013-01-06,2020-07-07,50494191,52316253,34
2003-02-05,2022-01-24,13805873,18335603,37
1995-01-27,2003-10-08,35096046,95509733,32
1987-01-11,2017-04-09,52743503,68603846,28
2014-03-11,2024-01-10,66434890,27341310,1
1990-03-29,2024-06-15,5057310,61671835,33
1975-04-26,2021-03-16,34284589,9868131,12
2006-12-21,2021-12-03,34568507,30502471,15
1981-02-26,1997-07-27,66578634,66012801,36
1988-04-16,1996-11-03,10680311,25424085,31
2003-12-24,2017-01-05,58773363,31126279,38
2014-01-18,2014-06-21,85269782,60207492,6
1972-10-20,2006-10-15,74667767,473268,27
2005-02-08,2011-08-07,33073597,71482163,29
1975-10-23,1986-03-10,53495376,72895337,10
2000-09-05,2013-11-19,49087082,29800228,25
1980-09-07,2005-04-01,98557954,10348636,34
2007-08-25,2024-05-03,31240945,76403769,36
2019-08-19,2022-01-03,95689141,27404205,28
2000-12-13,2015-06-18,13493650,53620712,13
2023-04-27,2023-09-23,3792365,36134788,25
2009-05-29,2015-12-16,24541117,8600959,12
1972-05-17,2021-12-16,83940138,58977318,25
2011-05-02,2022-08-20,89095414,74048158,33
2023-09-29,2023-10-14,18777967,14409963,9
1972-11-27,2004-05-06,2769431,82580497,10
2001-04-17,2002-05-06,14278454,47895307,23
1975-02-25,1990-06-09,13991619,46034447,10
1984-06-01,1994-06-16,75416507,54195245,35
1986-08-31,2001-02-11,84254134,16256745,18
2007-11-14,2016-07-12,86073289,25733898,24
1992-09-22,2006-11-17,39283238,41577698,28
2018-10-23,2021-02-10,67529457,16691676,13
1977-09-15,1982-03-09,32608826,39494395,39
2008-07-28,2011-07-01,23823289,60607270,36
2009-06-05,2009-06-09,19684293,89081838,17
1994-12-13,2016-12-31,21370433,85773008,25
1979-11-02,2007-10-06,18560173,90563657,3
2019-12-01,2023-10-28,55061594,79833964,15
1986-09-14,2011-08-23,64028102,96965410,10
1995-03-30,2022-07-26,69691222,92152303,36
1998-04-01,2021-10-01,40839297,84904899,4
1995-01-24,2013-10-28,99380764,92322231,2
2011-09-02,2014-04-17,95009381,98143946,10
2003-07-05,2023-10-25,10075368,32560487,34
2023-07-18,2023-10-09,91704536,14517577,23
2005-06-09,2009-05-01,82783561,28865330,5
1974-04-25,1980-11-12,43856009,16346683,15
1996-05-31,2015-11-24,89851462,51229726,8
2020-12-14,2022-11-11,17718365,12336989,28
2008-10-25,2014-04-27,69277841,46624589,32
2019-07-28,2022-06-16,55506668,96410380,35
2024-05-09,2024-06-13,56759056,63835799,36
2017-09-17,2019-07-04,65381917,53160951,27
2011-05-03,2022-04-06,68463388,18346542,31
1979-06-07,2016-10-01,30497266,34366213,13
1986-07-08,2010-10-30,60406459,6192209,38
2012-12-05,2020-09-18,15931407,2429186,40
1973-02-09,2003-08-08,15608078,98787937,38
2017-12-29,2019-06-30,68763331,26907687,32
2019-06-29,2023-04-29,64285846,91128087,10
1970-12-27,1983-09-22,54685959,73111889,39
1988-12-04,2022-10-22,7064937,86686139,29
1989-03-05,2004-05-06,16276748,5771175,14
2012-09-10,2021-04-11,44019313,26057313,15
1989-06-13,2021-07-31,40120639,33008185,28
1995-10-16,2023-12-25,20027826,14825418,33
2021-03-16,2023-06-19,66825488,39907005,18
2023-12-21,2024-06-15,61249254,49811053,32
1985-09-08,2011-08-15,75614274,36333975,6
1977-12-25,2016-05-11,35265647,83719702,23
2018-02-17,2022-02-06,422963,36716638,3
2002-07-07,2012-04-19,91221442,28892656,27
2019-01-17,2021-01-29,70512900,49601278,19
1976-03-07,1980-10-10,9012087,10008894,26
1980-05-18,1991-05-01,41133144,66502682,19
1992-06-20,2018-03-18,3722194,16932186,25
1994-04-24,1999-05-08,34486971,99210726,16
2000-10-06,2011-09-18,7742704,74599001,2
1976-12-03,2016-03-24,72004371,32908266,7
1988-06-22,2012-10-20,71086210,2615870,5
2004-11-21,2011-01-20,59270492,81106219,12
1986-10-27,1993-10-20,92554808,5775477,13
1982-06-25,2021-02-25,46702868,30694448,29
1994-07-31,1997-10-17,13219915,87692251,5
2011-12-11,2016-12-04,6731963,90098436,39
1985-05-08,2012-07-20,84081314,17556627,21
2023-05-25,2023-08-31,23565595,87094769,6
2023-12-13,2024-05-10,89361893,78648462,25
1974-04-16,2001-08-31,86299920,81730187,9
1996-08-14,2002-09-10,47493228,95314828,17
1994-11-05,1997-10-04,83075771,98672574,38
1982-04-14,2012-11-15,41691961,31462649,29
2000-04-27,2016-12-06,96806384,70383271,7
2008-03-23,2022-01-23,58673200,75382167,13
2018-05-13,2019-02-28,55785690,22217189,9
2022-02-12,2023-04-15,77037976,83006556,39
1987-01-13,2006-07-11,16291528,63292529,6
1994-08-02,2000-02-06,6361,24207096,34
1979-07-16,2014-09-16,33073597,47640488,15
2012-08-24,2015-07-17,38447769,80893536,7
1988-02-15,2013-03-27,25412649,56025178,29
2001-08-20,2007-06-23,97348864,95824372,31
2012-05-27,2023-03-08,19497082,27545385,14
2007-11-25,2014-01-21,95862867,50192818,13
1975-07-10,2017-06-30,80356360,18382534,30
1970-07-30,2006-03-10,45724580,86116016,36
1996-06-14,2007-09-28,77274686,60981325,32
1993-07-04,2010-08-17,54191646,26837690,26
2016-01-10,2017-01-30,49614758,90730285,4
2015-09-27,2020-10-27,94761341,63668363,1
2017-10-08,2024-01-12,71246352,93995552,14
2011-12-13,2017-09-10,98795983,53283310,26
1970-03-01,2015-01-20,2904257,3261647,39
2007-07-08,2022-04-13,92370016,5928163,40
1995-02-06,2014-05-11,84920035,59082345,25
2014-07-30,2016-03-06,56221487,72526472,12
1985-10-29,1992-07-25,49207448,77601922,4
1978-03-29,2003-09-25,86870996,2115207,16
2019-04-30,2019-10-06,62612562,23620025,10
1972-04-02,2003-08-15,50332309,81953251,8
2003-12-16,2023-10-27,74841115,72671261,8
1987-10-31,2014-02-13,5214830,79087358,23
1990-03-09,1991-10-05,21027269,59493785,17
2015-10-23,2016-05-05,31412365,50026317,28
1978-03-04,2021-02-15,60528692,96024843,34
1992-01-18,1996-04-29,99429744,16996900,18
1973-01-18,1990-12-31,7110971,77639341,15
2015-02-21,2019-07-06,93092587,77864726,15
1987-05-28,1989-08-25,15959399,47467916,27
1988-01-09,2003-11-13,34359171,7644457,31
1986-08-05,1990-07-07,98009557,8477508,3
1987-12-07,2019-07-12,72677639,41638228,5
1984-07-01,1984-12-12,78995099,38077992,21
2023-05-13,2023-12-31,55462609,19637565,33
2013-10-01,2018-06-29,68837768,4344884,33
2009-06-21,2010-07-31,3054382,76061323,34
1982-01-31,1991-09-24,23804250,97856940,36
2001-10-09,2021-06-29,70195439,39689333,6
1995-03-15,2021-07-13,70367550,32792608,11
1998-06-14,2017-01-20,94453298,70001757,38
1995-09-10,2013-04-09,3537698,17371076,31
2011-12-08,2013-10-12,97899040,67643839,20
2005-02-28,2024-03-30,46812523,97051049,33
1980-03-23,2010-09-19,31559168,23305602,11
2006-11-29,2024-02-02,77997887,56630219,23
2016-05-21,2021-07-02,38023597,13413945,2
1978-09-26,2010-10-17,929742,26542986,38
2011-09-29,2016-03-11,20338344,77768999,14
2014-12-19,2023-09-13,91974743,5579109,9
2009-08-08,2020-03-01,65107386,5393825,18
1985-03-22,2002-09-05,69365372,55481144,25
1995-01-13,2000-03-21,73213800,48274657,13
2018-06-26,2024-06-23,41553034,37588616,31
1978-08-18,1979-03-31,22348597,3155823,13
1976-09-17,2015-01-09,26024242,14563105,28
2002-10-27,2010-10-24,80410511,844091,6
1973-09-12,2009-12-24,52851810,53369257,12
2000-03-25,2012-02-17,95063446,35421202,18
1998-03-06,2010-03-20,39075047,13441530,14
1983-01-14,1997-12-13,63988733,14901371,17
1995-04-22,2001-01-08,32429176,37346731,34
1972-10-23,2010-03-26,95782479,70009235,29
2010-09-25,2015-04-16,73587168,74731420,33
2006-09-05,2017-04-06,93788244,76658146,35
2007-06-19,2009-07-11,14983385,56876740,9
2022-06-30,2023-02-11,53846997,89345809,12
1993-04-03,2003-09-19,67091850,68613419,26
1993-07-10,1994-06-20,6207867,67051898,7
1978-04-27,2011-06-21,9951932,60386561,2
