idTitulo,Legajo,Desde,Hasta
63159,8327398,2010-11-04,2019-10-02
34281,26003981,1975-11-22,1993-09-11
50416,7444810,2014-06-08,2014-12-28
50397,61140825,2021-08-25,2023-06-27
56629,79327365,2003-02-10,2015-04-19
3134,44570726,2002-04-25,2015-02-27
35954,76091609,1990-01-01,1994-08-12
712,90158573,1991-11-07,2012-07-14
79881,36176840,2020-05-13,2023-04-14
60173,39194659,2020-10-05,2023-08-05
86022,1210931,2015-12-10,2018-02-13
9930,82991866,1976-04-04,1987-11-22
44806,59463875,2021-11-18,2023-01-30
71325,22577329,1970-03-02,2014-08-10
92877,96262479,2007-12-16,2010-04-13
40958,88031962,1998-01-09,2003-03-17
41452,74550088,1971-02-01,1987-11-09
33867,39189786,2019-03-10,2019-08-24
92666,32027276,2013-04-27,2016-12-29
23756,74123748,1983-03-09,2021-04-11
56541,90040117,1994-07-09,2022-01-19
25773,31399445,2017-11-08,2020-04-29
80170,93898047,1971-03-07,1977-01-01
51320,71034406,2006-07-27,2022-07-02
58114,91766790,1979-06-01,1979-11-09
77600,90518387,2014-08-19,2021-03-08
54940,29374783,1993-09-08,2002-07-18
41899,17171859,2018-12-02,2023-05-21
57471,54384378,1983-02-12,1997-12-11
30577,12590193,1993-08-02,2018-08-22
22647,18927968,1980-02-28,1988-02-13
95468,4714918,1976-04-21,2003-09-01
54378,77535621,2010-01-01,2010-08-20
60346,85131739,2012-05-15,2014-03-31
15525,54681772,2012-01-14,2023-01-04
32251,63185578,2013-10-27,2023-04-28
90859,72214790,2006-05-08,2016-10-03
55730,1284305,1999-01-14,2002-09-29
86974,16611304,2002-02-24,2003-02-20
71270,59915218,2000-06-05,2001-06-02
50509,77601761,2005-04-21,2020-08-02
83369,50799157,2015-09-12,2021-05-17
37493,72910276,1995-05-10,2018-08-15
2768,74107305,2017-10-26,2023-12-29
7797,53592419,1988-04-12,2017-09-25
16869,64451374,1999-10-03,2011-10-08
27814,94819800,1981-11-18,2018-05-03
26113,72031054,2001-03-18,2019-09-17
38674,21362428,2018-07-25,2020-01-01
55376,33877204,2011-12-01,2016-10-11
59614,15278200,1992-05-23,2020-09-30
64995,80162680,1999-01-03,2003-07-04
64583,28299134,2012-06-05,2019-05-08
23638,86925268,2009-12-19,2013-12-09
14155,52863680,1993-01-20,1993-09-20
20043,57954029,1989-04-10,1990-06-18
94299,87301987,2003-11-19,2015-08-20
53984,25557920,1990-01-27,1994-05-01
49235,22842772,1993-06-01,2022-05-23
43377,59771035,2001-10-05,2005-10-19
10412,21477155,2015-09-25,2019-12-17
78178,88221601,1999-08-05,2015-10-02
84573,82458636,2008-05-31,2010-05-04
14919,46793515,1974-04-10,1992-11-11
20867,24082285,2013-01-07,2015-10-22
1319,98767113,2020-09-05,2021-01-12
428,41308159,1974-01-26,2017-02-21
49744,41329248,2005-12-29,2017-10-23
90692,30100890,2003-10-18,2004-11-18
64867,10331628,1986-07-20,1996-04-04
74071,50922691,2001-07-21,2002-06-14
9961,69318581,2012-08-19,2018-08-04
85521,43816818,2002-03-09,2006-08-15
92228,49197163,1994-08-31,2007-08-23
46855,34123169,1986-03-09,2010-05-23
13771,20361309,1987-07-20,2002-02-14
88952,33616358,1998-01-07,2012-11-04
63632,89997009,1984-08-11,2000-07-09
99702,85905142,2018-08-05,2021-12-21
81849,60266863,1983-01-10,2023-12-01
93642,16452366,2019-11-14,2023-02-26
80492,47568093,1990-03-06,1995-01-20
59691,68331218,1971-01-27,1973-06-15
76201,86463229,1990-09-04,2000-06-13
10613,84825893,2011-03-25,2018-05-22
12750,25128290,2015-12-30,2019-07-17
37981,82197046,2023-08-09,2023-09-10
86398,19606529,1974-10-27,2005-05-17
94122,20624568,1983-07-20,2001-05-07
46956,68470406,1979-04-20,2001-05-14
20553,4431890,2019-04-21,2019-07-10
48323,16369699,1978-04-01,2004-01-22
68710,35573414,1990-06-09,1997-11-08
91616,47562607,2022-07-10,2023-05-27
91932,23937682,2001-12-09,2009-05-22
41924,17240572,1979-02-20,1989-06-01
87967,99887120,2010-12-10,2016-07-31
82996,28114962,2013-11-05,2020-04-24
8744,88660827,1983-03-04,1988-01-04
5270,11316372,2007-02-13,2024-02-05
37244,83881213,1971-06-04,2003-01-02
57937,75413014,1976-10-03,1984-08-26
4924,22772349,2018-08-27,2019-12-26
73353,2067889,2004-02-24,2014-05-19
48429,96784117,1985-05-21,2017-10-28
691,30608981,1974-03-01,2009-11-26
48452,90364613,1984-05-22,1999-08-14
49602,78527339,2013-02-26,2014-12-21
77314,14384691,1995-02-04,2010-07-03
78165,7707542,1981-02-03,1999-02-21
78184,95296099,1980-09-11,2021-05-01
70014,81534865,1984-09-05,2024-02-03
21155,98766023,2003-01-14,2005-01-29
86436,88132411,2016-07-19,2022-09-22
47794,81230148,2019-01-02,2019-08-26
29870,66186546,2009-08-29,2017-07-12
42421,86075632,1976-10-05,2004-08-03
19243,43352766,2013-11-25,2014-10-15
16879,92942382,2003-12-17,2022-09-01
89339,96251459,1981-05-31,2004-12-18
22198,89895414,2012-06-01,2017-05-22
10913,26315827,1989-02-27,2001-03-20
55362,53956871,2003-03-12,2006-09-21
65736,24063061,1980-11-08,1981-11-02
33354,92315976,1983-06-11,1999-05-08
52492,99425846,1992-07-15,2016-04-02
26242,5086814,1977-09-18,2011-06-25
50416,48858701,1978-02-21,2000-07-20
71199,76837614,2007-01-03,2024-05-07
98652,53461148,2020-11-03,2023-10-24
43527,53598928,2023-01-10,2024-05-01
3014,68110163,2016-02-15,2022-10-19
75681,81947410,1994-09-17,2002-12-27
41672,97517682,1982-07-06,2015-12-05
15316,74009338,2017-08-27,2019-08-10
10597,43519418,1979-03-05,1996-03-19
2448,2865357,2007-08-05,2018-10-23
88316,66186546,1992-11-28,2014-02-05
96179,66657030,2003-09-07,2006-02-25
92056,6657818,2008-06-01,2017-07-07
92783,86772566,2010-06-17,2016-02-08
67552,75017271,1983-12-11,2012-03-25
85126,3675872,1992-10-21,2005-05-09
44276,65514982,1980-06-26,2007-10-24
53296,14587858,1988-05-31,2022-01-12
82608,10612755,1980-05-14,2010-07-11
31243,8521425,2003-07-18,2005-02-13
19983,72926938,2021-05-06,2024-06-27
88862,43670593,1993-07-15,2020-10-23
78367,11958577,1989-05-27,2006-10-16
89350,46670386,1996-07-20,2015-05-12
55481,73461071,1984-03-30,1989-04-30
30248,49197177,1995-07-26,2002-05-18
70965,62442071,2014-08-16,2014-11-25
37490,33236323,2023-01-26,2023-08-17
97733,58185669,1978-04-22,2002-08-05
91060,68486851,2007-08-31,2014-09-11
54145,6570398,1970-03-06,2013-04-17
93403,16369699,1979-04-28,1986-04-16
66124,53535863,2013-10-23,2015-05-25
58705,13757622,1971-08-19,1996-06-04
73942,78448745,1974-06-09,2012-06-27
82117,30364514,1987-09-04,1989-09-09
44110,31373247,1979-11-09,1996-02-16
9646,75176154,2014-10-26,2019-08-23
10857,84399838,1984-04-04,1995-02-21
7034,43759680,2006-10-12,2008-06-16
20400,844091,2000-04-29,2015-02-15
6688,41879964,2000-09-18,2014-10-06
76444,27848997,2024-03-13,2024-04-03
71168,41291782,2006-07-20,2012-01-24
62755,50564699,2023-02-25,2023-06-22
22521,4925856,2007-09-25,2010-02-06
83134,17442498,1973-07-04,1987-01-25
80882,65120375,2013-01-14,2020-01-30
39414,27737610,2016-05-19,2024-01-27
11849,13740850,2002-10-24,2006-03-12
30869,50781685,2022-02-23,2023-10-09
49776,41860404,1976-02-08,1999-04-11
10194,39685690,1987-09-01,2006-08-18
72223,73958362,1984-10-09,2009-01-22
92418,78280711,1988-06-30,2001-08-23
13518,9395186,2005-06-29,2013-04-13
22245,19636806,2024-02-06,2024-06-16
46586,25175554,2007-02-16,2017-12-28
64753,77804464,1971-02-03,1988-09-26
68331,54435299,2004-02-16,2018-09-09
33034,63728687,2014-08-19,2017-06-29
78913,71877259,1993-02-25,2017-08-14
18475,23474428,2020-01-26,2022-08-21
23631,93333805,1982-10-17,1989-12-25
75418,74613988,1985-03-17,2011-09-30
39099,45956725,1998-12-15,2022-04-22
86209,64688435,1989-10-06,2011-04-04
63390,76289420,2010-12-29,2012-05-04
5911,2783843,1998-04-25,2013-01-19
69358,38474942,2017-12-02,2018-05-21
596,29417131,1994-08-31,2013-04-16
86990,7874868,2023-09-24,2024-01-03
40928,58110433,1986-02-09,2001-06-06
32931,31374188,2016-01-22,2023-12-17
91729,54779527,2018-05-07,2020-09-20
51808,80651006,2002-11-25,2021-05-07
95840,43606344,1973-11-07,2009-11-20
69102,41872304,1980-11-02,1983-03-15
84586,83548785,1998-09-08,2007-12-08
72864,69101597,2008-11-05,2010-08-24
94103,74243114,1981-08-29,1992-02-14
82761,9091106,1998-05-10,2011-03-15
790,34415624,2002-04-06,2013-12-01
95557,36196712,1986-02-09,1998-08-07
11760,5869211,2016-05-09,2021-09-14
39840,83723614,1995-09-05,2016-06-28
70713,83945686,1985-10-23,2024-05-15
73549,87805883,1991-08-16,2019-11-10
49926,11389285,1979-10-30,1983-11-12
81514,48593083,1977-10-17,1991-07-15
43614,92337088,1977-09-05,1979-03-30
6763,19093388,1996-08-13,2002-03-05
48362,63238202,2002-04-08,2023-06-13
16447,22714789,1997-07-14,2016-10-10
60068,57649587,1974-09-22,2002-09-04
18751,70119326,1996-09-01,2010-12-10
11857,20163051,1975-04-08,1988-09-23
95463,92494156,1970-01-15,1996-10-30
45062,60126747,1982-08-07,2013-04-05
29380,94129427,1980-05-30,2020-11-30
34851,53911200,2000-10-15,2017-10-23
67252,55452647,1977-12-25,1979-05-20
95678,72346085,2000-02-24,2013-05-27
22381,19205651,2007-04-19,2013-08-22
48572,90692173,2016-02-12,2021-11-03
29994,38552882,1992-11-13,2023-07-27
53650,38769744,2009-10-07,2009-11-16
1148,85206919,1990-10-25,2000-05-07
59847,18566982,1991-04-26,2007-07-29
52318,27990379,1986-11-27,2018-08-10
55843,85704884,2021-08-06,2024-06-24
94584,28592130,1980-12-03,2023-12-31
40899,75570320,2011-12-10,2014-08-19
33996,84034086,2012-01-14,2018-01-25
38037,75742412,2019-10-29,2023-02-21
38011,74966637,2016-04-06,2020-07-01
98283,81312304,1999-11-23,2001-08-09
5943,81899197,1997-09-10,2011-11-06
32390,48151704,2009-11-04,2018-01-28
76108,16425377,2011-03-20,2013-01-07
80890,74990785,2016-06-01,2021-06-06
37609,18859332,1993-08-17,2016-02-25
90085,70886005,1983-09-14,1992-08-20
11227,61731846,2017-06-29,2020-10-19
26954,48513953,2011-03-30,2018-02-10
14852,93887587,2011-01-09,2016-03-10
99118,98350259,2021-08-06,2022-01-27
13811,1633090,2020-01-31,2022-10-29
59368,38759163,2000-01-27,2018-02-12
43611,93259105,1982-10-26,1998-11-09
2473,51032827,1981-09-30,2004-12-29
20056,16116407,2003-08-21,2011-03-23
47639,73001087,1986-09-08,1995-01-05
21576,18490757,1985-04-10,2019-06-01
80101,17226072,2021-05-29,2022-07-24
98570,26095380,1980-10-28,1993-01-26
15525,44559206,2020-10-18,2022-05-27
80757,68895993,2020-01-05,2023-03-26
91220,58037260,1992-09-08,2019-04-16
70736,19360986,1977-01-17,1979-05-26
78838,19567546,2015-11-03,2023-06-01
32394,72270439,2009-12-24,2017-10-22
46475,89505599,2010-02-02,2020-07-08
93376,29062318,1989-11-17,2018-07-20
14175,68615661,2001-09-07,2019-04-27
43676,57352382,1994-08-08,2002-01-17
30906,15396822,1991-01-04,1996-06-24
48021,28892472,1976-11-27,2011-09-18
50848,58278944,1992-08-19,2021-01-15
46439,47166565,1988-09-25,2004-10-10
14212,18907344,1992-11-20,2004-06-18
39162,66457953,2017-07-12,2020-08-19
56113,46029892,2005-12-29,2020-07-20
55995,65146531,2004-08-16,2024-02-20
74303,49632114,2011-11-28,2017-05-14
12590,44366052,2007-09-24,2018-05-30
35155,85629699,1977-04-02,2024-01-17
58836,96079633,1991-12-13,2007-10-10
10375,78036394,1999-08-19,2002-07-20
44268,96179738,1998-10-30,2018-01-13
33271,35946331,2004-08-20,2017-07-29
50350,64712324,1999-05-19,2007-07-26
18958,82135459,1975-11-07,2013-01-22
79967,17580101,1986-02-25,2000-10-03
91008,57759547,2003-12-30,2012-05-20
90180,4583638,2018-10-07,2024-02-26
63183,13985766,1973-02-23,1984-02-01
28812,99181931,1988-06-03,2023-06-22
97576,53304493,1975-06-25,2009-05-30
87118,46042456,2005-08-28,2020-10-09
4603,54690170,1981-04-19,2002-08-20
73450,51343043,1994-12-17,2000-08-14
37499,27175541,1995-09-16,2006-10-04
85851,56683588,2014-04-06,2020-12-30
29265,90424198,2012-04-07,2013-09-25
17795,97692219,1978-07-26,1980-04-22
56251,54082977,1997-04-15,2001-06-09
6139,39767498,2023-09-30,2023-12-25
24463,20351131,1993-01-25,2023-05-31
35167,60723133,1982-11-20,2008-11-03
98570,88504404,2015-12-12,2022-12-01
52468,47527163,2022-09-08,2023-08-28
16656,15687285,1989-04-21,2002-04-27
85037,60000619,2006-11-05,2023-01-02
79165,33821541,1998-03-07,2014-04-07
72426,30003259,2002-11-20,2005-12-13
15445,23984091,1987-04-06,2014-12-08
51050,31514898,2018-12-11,2023-06-18
83896,83223386,1970-10-05,1997-08-16
58636,21291767,1996-12-14,2009-07-10
38029,5825327,2012-05-11,2018-09-13
76731,58286419,2011-10-27,2020-02-02
17567,30241114,2010-11-24,2019-12-25
94939,94648549,2009-07-05,2017-12-27
92184,61829503,2016-01-22,2016-08-02
7210,3834266,2005-01-07,2011-03-20
34817,81156321,1998-08-27,2010-09-22
38725,62855762,1975-09-27,2013-10-13
25346,10612755,2020-10-20,2022-06-19
72920,47530544,2013-03-11,2024-04-02
84627,77535621,1986-09-18,1989-01-30
58613,92401006,1972-10-01,1978-09-19
42995,80821134,2015-05-05,2015-12-02
4303,94272744,2021-04-01,2023-04-18
42514,49998037,2000-12-20,2019-02-08
69576,16079391,2018-03-10,2022-01-31
26062,58687510,2015-03-01,2022-03-23
21913,24049805,2011-01-22,2019-11-04
62946,34407828,1988-01-14,2013-06-27
13609,26984089,1980-05-24,1990-08-10
59285,60845603,2012-01-01,2012-12-03
24046,24283339,2016-01-21,2018-06-15
1448,97233534,2020-06-03,2021-01-10
11251,17458161,1976-03-01,1985-11-20
57300,65657880,1983-12-27,1997-03-05
90632,31856098,1970-08-25,1978-11-14
12900,68425856,1977-08-25,2001-11-22
56854,26687645,1987-11-09,2018-07-16
91616,30884632,1990-02-01,2013-11-10
22192,89816287,2016-06-24,2021-03-15
1598,82211892,2010-12-04,2012-09-06
98789,34239982,2010-11-15,2018-07-12
31553,83522994,2016-04-05,2017-06-26
16905,22687295,1992-07-12,1998-09-28
49017,5737228,2009-12-23,2014-05-01
50574,36262424,2006-06-17,2011-09-28
78904,56072011,1992-05-23,2013-04-08
53978,47285324,1994-11-08,2020-11-09
1757,57171889,1978-07-10,1997-04-24
39997,69482659,1979-10-17,1993-04-15
90889,71943303,2003-05-28,2018-09-16
24598,79522973,1970-10-27,2012-09-30
40733,88799906,1974-11-03,1988-08-03
71392,73651606,1987-01-31,2023-05-24
79685,20210749,1998-09-22,2007-12-10
69444,90435212,1993-05-23,1995-01-29
60918,16715341,1972-12-17,1994-01-12
12946,77013775,1998-01-22,2004-01-30
3063,96282814,1986-01-17,1987-02-03
3098,74483375,2003-05-23,2006-11-12
63759,92959029,2011-10-07,2014-01-23
26143,97233636,2020-02-22,2020-10-27
30922,75016648,1983-04-05,2000-01-28
27311,61051650,1980-08-07,2015-09-25
59710,63593422,1983-05-23,2000-11-14
3327,45516459,1972-06-04,2008-01-14
77912,92524553,2021-10-05,2022-04-16
52330,19811016,1985-04-12,2016-12-31
85557,85800310,2011-03-12,2016-01-05
37461,24149228,2005-09-19,2020-04-22
93974,60381421,1980-08-14,1991-11-05
85511,92666223,1970-10-16,2020-03-31
42968,53023499,2016-01-21,2019-02-04
89596,12953319,2022-08-29,2024-04-03
22373,64295403,1982-06-27,2003-07-29
93433,76992141,1987-10-29,2020-01-25
66008,53039831,1998-08-14,1998-12-30
17272,12596025,2006-07-25,2017-04-16
19051,44467038,2010-05-25,2019-06-28
31546,58285654,1983-09-18,2001-04-14
79712,66626700,2014-02-05,2021-12-06
15077,86958090,1999-12-27,2008-10-29
15694,47555681,1991-03-09,2019-08-28
22872,46193544,1979-11-05,2006-04-07
50465,28947572,2011-04-30,2016-09-25
79949,20779440,1975-10-06,2008-05-23
38702,3377642,2019-04-03,2020-08-01
36012,97494914,2001-12-09,2015-09-26
49855,71117471,1970-04-29,2021-08-29
89416,21158126,1997-07-24,2012-01-19
37152,57458651,1997-04-04,2002-12-14
80714,29296107,1978-02-13,1989-02-23
19332,68021194,1985-03-15,2011-03-18
41803,11884838,1973-12-17,1982-11-27
11753,50003063,1971-05-21,2003-08-16
84404,7204170,2012-12-26,2021-09-23
5151,52754592,1990-09-17,2022-10-12
20060,32525157,1970-06-11,2023-06-26
24249,41003055,2017-12-28,2019-09-26
25407,18335217,1982-10-19,1991-09-05
34196,9754661,2009-04-12,2023-12-14
92536,75445048,2001-09-15,2022-06-08
49462,90195879,1986-03-21,1994-10-16
34644,40439974,1978-11-26,2008-04-22
80482,98755049,2005-11-07,2024-06-17
18947,49991561,1985-05-26,1997-11-30
73034,62930406,2015-05-17,2022-06-02
31433,70288650,1974-08-04,1986-08-27
66408,23019417,1974-09-23,2021-11-13
36393,24251855,1981-11-29,1993-03-08
80090,20184340,2014-10-18,2018-12-04
24642,3027780,1999-05-06,2003-03-29
99086,39819049,1999-11-28,2008-03-22
25876,15711578,2007-06-26,2011-11-22
62883,17941782,2018-11-22,2019-04-12
73762,76805309,1991-05-10,2004-12-04
18626,71498334,2004-05-16,2016-02-15
11008,35063391,2012-03-11,2017-01-30
44543,56728462,1985-05-11,1999-02-03
21319,58497931,2015-07-18,2017-02-23
19251,55435610,1997-06-26,2015-07-04
77178,37569723,1992-01-17,2020-07-21
14139,6469376,1991-05-17,2005-10-03
36075,13874789,2010-04-05,2024-01-28
20924,482148,2004-01-26,2005-08-18
84691,58818640,2022-06-03,2023-09-14
34461,76165574,1999-02-23,2009-08-08
5538,55844257,1993-12-04,2022-12-13
18755,97745886,1997-05-08,2010-09-26
91256,1287701,2023-03-09,2023-06-02
42030,31433350,1970-07-15,2002-02-12
5779,10304585,1978-06-01,2005-05-07
52515,31788843,1976-09-30,1991-04-07
97928,42937280,1991-08-10,2009-09-26
10661,96516943,1970-07-15,1971-01-03
32865,54500057,1996-12-27,2003-02-26
28303,6201042,2005-12-17,2007-07-20
22232,44726246,1983-10-25,2006-07-04
40283,54024060,2007-11-03,2013-08-29
7889,94236097,2000-10-30,2022-08-21
89302,73829732,2007-08-14,2018-04-06
41124,14937563,1981-11-30,2022-01-10
27270,41586625,1984-10-31,2006-12-23
8884,23850582,2018-08-16,2022-03-13
13870,1374892,2015-03-04,2018-03-26
10317,9803410,2006-05-21,2012-04-17
56711,49477162,2008-08-02,2010-07-10
46845,75433225,2007-07-07,2008-09-06
3336,95919800,2012-09-13,2018-01-03
1507,87488600,1989-08-31,2021-02-24
38452,52090212,1983-01-05,2022-03-06
7252,68429283,1972-01-27,2015-05-18
10577,97158664,1996-08-08,2012-09-24
24530,58068041,1990-03-14,1993-11-28
11265,11685639,2005-03-08,2016-01-16
67294,40478411,2023-12-08,2024-03-31
9021,79863187,2001-06-30,2016-01-12
44277,75858808,1988-06-04,2018-09-15
4558,13637894,2010-09-25,2018-03-24
92983,75466416,1992-10-04,2018-11-24
61492,57528278,1991-11-04,2004-07-06
10647,9228490,1982-03-17,1983-01-18
55459,23503112,1978-06-12,1998-08-22
7441,38094123,1993-12-31,2015-02-03
15615,35046077,2009-06-05,2022-08-08
17043,31557011,2022-12-26,2024-01-25
39013,22736727,1997-02-08,2013-01-23
47828,11242565,1983-12-13,1995-10-19
59199,59993519,1999-07-12,2017-03-14
74438,19428387,1982-11-06,2017-10-06
7917,45049386,1991-12-13,2023-11-16
92817,55929602,1990-12-28,2024-03-08
56390,79856381,1975-06-02,2004-07-03
11938,70506743,1991-08-23,1994-02-02
71892,51252834,1998-07-19,2008-11-11
74047,45908634,1986-08-23,1988-04-05
33083,77276764,1975-01-24,2014-05-21
27128,51736307,1987-01-26,2005-04-08
75441,49930894,1981-08-09,2008-01-21
27479,48621276,2005-05-08,2021-05-27
74649,17781232,1974-06-20,1990-06-15
79653,35515755,1972-11-09,2008-08-25
46197,22372024,1994-03-16,2020-04-11
42057,8926796,2002-05-13,2013-11-10
31042,77115928,1979-08-15,2018-04-06
44623,14632330,1995-09-12,2011-06-24
68980,85356760,1971-12-28,1995-08-13
74446,42890462,1992-12-06,2012-01-08
42390,35228150,1994-11-10,1998-09-22
42079,46005674,1971-05-28,2017-09-18
8687,90335328,1998-01-28,2023-01-18
28504,90312652,2004-12-15,2021-10-15
63169,97753540,1984-10-18,2003-04-02
3583,45419239,1977-04-12,2011-04-21
38691,61736404,2005-10-30,2023-01-15
10655,37997060,2011-10-29,2012-01-11
73925,89911059,1973-10-23,2004-03-05
51386,19809501,1991-04-20,2000-11-16
24765,92652089,2014-12-03,2022-12-29
83192,92734014,2022-03-16,2023-05-23
45206,14787261,1994-07-06,1998-07-11
92184,30465129,2012-02-16,2013-04-10
62966,2258702,2019-03-07,2023-12-11
51315,88946623,1989-11-24,2023-02-14
87028,80927324,2022-01-21,2022-12-14
34475,14024226,2006-03-19,2014-08-27
80293,62577783,1998-05-11,2005-05-07
50834,88181898,2013-05-13,2015-01-31
61915,38149831,2022-04-12,2024-06-30
86518,83960454,1980-02-14,1992-08-18
35959,20892022,1990-09-10,2015-03-22
99289,15829469,1996-09-06,2009-02-27
30906,41281952,2005-03-24,2021-08-21
39339,64113852,1987-11-27,1997-05-08
78732,31656222,2021-01-19,2021-06-06
85297,89194964,2000-11-03,2019-01-20
82701,73996517,2004-11-10,2019-04-22
45148,44641783,1984-03-21,2016-12-28
35825,60733169,2006-04-12,2013-07-17
58500,19879107,1980-12-01,2007-05-20
61972,25918790,1977-06-20,1998-02-25
22354,77121803,1996-06-16,2006-12-22
19941,68754200,2012-12-11,2022-09-20
32905,1120347,1992-03-23,2010-09-18
39244,6345056,1988-10-02,2012-11-03
6540,43890220,2016-09-04,2018-05-02
87202,87242844,1970-06-29,1978-05-01
66076,19096506,2008-05-29,2020-01-10
81646,12409595,2009-08-09,2023-07-22
80964,30733979,2017-05-27,2019-01-01
73265,51957649,2018-09-08,2022-04-16
61978,92729208,1995-10-21,2004-10-16
32394,81004822,1975-04-27,1982-05-27
9575,11285130,2007-12-01,2009-11-26
61451,56937337,1980-01-04,2015-08-29
45566,55354635,2014-12-16,2020-08-04
44625,12765837,1991-09-13,2011-02-27
59717,39804183,1997-07-08,2011-11-28
5682,7206750,1989-04-15,2021-10-15
81261,91001438,2006-05-27,2012-05-26
28025,8252958,2003-06-23,2017-10-29
83512,80913111,2014-11-17,2018-03-17
34306,87983547,1996-10-02,2002-05-09
80220,81908104,1990-08-19,1999-01-26
31920,26246491,2023-01-07,2023-09-23
74201,47760538,1983-09-30,2004-12-12
50090,76177884,2015-06-08,2018-09-14
92314,88102575,2004-03-04,2015-10-06
82317,5130709,1981-11-04,2005-04-01
45407,97242692,2008-02-29,2014-12-02
74011,46101447,2017-02-15,2019-07-13
51187,84258614,1989-10-10,2024-01-15
15283,33644392,1974-09-19,1985-04-27
18671,89425237,1980-04-25,2018-05-23
56854,70955038,1974-11-08,1994-04-14
13167,18503165,2016-04-11,2018-04-10
61651,36749030,1980-07-08,1985-07-12
71466,88050942,2000-05-27,2019-06-11
25048,42977207,2002-03-27,2004-05-05
66973,15687635,2014-05-22,2023-05-02
78814,32887900,1992-03-15,2017-09-09
90764,66674455,2015-09-20,2021-01-26
51621,81954419,1995-06-06,2014-09-25
74306,43788424,1973-02-06,1995-07-28
79233,55016252,1976-04-12,1999-08-06
43121,96537887,2001-07-12,2014-05-23
27178,62659688,2013-05-17,2020-08-24
39896,69230815,1986-09-15,2023-09-04
81232,95752050,1988-10-16,2013-07-13
86404,80565801,1978-11-30,1982-11-25
94190,15820679,1981-02-27,1997-12-12
94404,87485077,2012-09-15,2020-03-11
1912,42665837,1989-08-26,2004-01-18
76266,34729941,1983-03-14,1988-11-27
16520,39232398,1977-10-31,1983-11-03
66673,49891312,2014-08-22,2018-09-04
91650,35645929,2023-10-13,2023-10-27
34251,90512866,2023-11-15,2024-01-11
99230,32970269,2007-05-28,2010-12-14
54591,53562628,1984-11-11,1988-04-29
