idtitulo,nivel,nombre
1245,fight,attorney
67515,standard,only
71580,record,bad
35923,each,nation
21309,box,relate
97559,arrive,ask
8653,raise,long
38946,part,decision
72882,we,radio
40873,yeah,somebody
68882,thought,nature
98912,total,he
71617,cost,red
76458,recently,card
59151,name,interview
42514,expert,say
68447,public,figure
63935,truth,stock
69375,position,party
27578,miss,already
79163,contain,magazine
91650,remember,on
12043,including,woman
30414,who,history
65905,will,should
39181,recent,little
15106,partner,research
73996,hour,various
68320,together,young
81447,reach,picture
97260,cost,type
59124,thus,fear
55758,political,whatever
41029,out,significant
25063,capital,catch
27325,face,old
49371,reveal,drop
18751,chance,with
24429,sense,perhaps
52967,almost,myself
66913,better,national
75157,wrong,small
95823,almost,always
30165,interest,group
18915,month,full
42532,positive,crime
39339,teach,provide
58518,newspaper,look
1363,mean,couple
23332,have,represent
40687,spring,though
64265,cell,democratic
11426,bad,nothing
5899,hotel,scientist
10449,month,at
63291,per,dark
33159,technology,land
67064,soon,remain
32190,pretty,laugh
59029,partner,listen
98814,example,peace
9237,shake,but
11625,they,catch
86417,million,energy
96216,order,from
17658,must,treat
59673,yeah,along
61248,health,factor
16509,close,become
35866,recognize,team
48805,week,technology
81514,him,know
50541,hold,once
90231,account,soon
18958,able,study
84126,behind,number
88451,fight,direction
91646,author,size
64425,bed,put
43988,themselves,realize
14812,offer,until
89624,fine,resource
79905,nor,actually
6400,something,region
44951,air,every
11269,color,cost
17396,buy,often
39288,great,maybe
23906,southern,happen
9937,at,matter
14323,land,night
23744,fill,good
43391,question,two
36359,get,stop
30046,through,worry
52183,hair,first
18622,phone,bad
85208,sell,point
19104,order,pick
33543,method,top
38029,lawyer,control
91876,trial,role
38402,significant,set
45543,arm,none
57416,key,goal
57376,individual,again
3291,prepare,join
23135,himself,include
89277,past,business
17168,relationship,whom
25381,available,tell
783,crime,general
54088,bank,best
97681,exist,record
82598,pull,property
18394,thought,same
71110,behind,money
10655,upon,money
842,mother,president
43069,response,break
32108,his,return
55031,your,general
60935,close,audience
7105,remember,claim
50253,speech,local
43985,per,have
61319,mind,mean
59438,word,hold
36098,amount,for
36230,source,song
22470,run,why
49754,common,thousand
44765,difficult,road
40166,mention,decide
93040,voice,the
43463,man,worry
56154,media,record
99873,idea,simple
97100,ago,approach
24229,see,people
20671,along,nothing
11691,into,deal
72585,perform,clearly
70230,method,condition
88547,security,leg
48307,entire,probably
88316,see,risk
62595,hand,throughout
97527,far,baby
52115,as,enjoy
26581,whose,financial
6535,herself,before
70655,individual,social
56490,eight,kid
61089,interesting,theory
46319,image,case
18080,nice,commercial
68033,heart,free
60837,west,forward
23724,air,follow
81533,off,society
40058,college,glass
51574,staff,activity
25045,recognize,eat
83,debate,against
90709,message,local
38469,anyone,product
85941,red,continue
68634,determine,hotel
37774,news,prepare
5349,thousand,data
11915,win,shoulder
8043,look,consumer
19141,serious,fine
11618,bag,price
96966,wind,fight
67789,religious,poor
86470,sing,travel
28562,any,south
76543,boy,whole
71077,body,art
84931,article,air
54731,traditional,reveal
33296,approach,charge
82641,see,wish
91300,attack,late
78814,become,shake
19790,financial,whole
44414,computer,research
64087,enter,range
87738,street,community
60954,to,quite
56239,set,democratic
16875,reality,accept
90487,be,those
56299,great,interview
51571,career,school
64067,investment,friend
42388,half,main
93724,summer,fire
99655,somebody,keep
85500,product,side
71652,itself,truth
28477,read,member
25231,past,soon
45090,mean,decision
60278,worker,course
79485,partner,another
55876,short,practice
52312,picture,outside
47612,this,expect
99195,onto,specific
91168,everything,rate
22180,whole,listen
51632,type,pretty
88133,relate,detail
32763,life,cup
88264,scene,work
23908,success,technology
91992,above,speak
14760,laugh,pressure
86841,draw,guy
6642,foot,give
58716,heart,environment
2319,baby,age
15862,behind,training
33265,marriage,car
78213,follow,nor
34533,quite,test
47741,hundred,program
40080,live,drug
89354,approach,ability
36387,discuss,good
17340,operation,land
59083,glass,part
58090,song,it
40731,project,nothing
69240,media,cost
38338,far,region
98408,really,life
98967,reach,movie
99412,bar,right
47201,born,imagine
37278,forward,draw
56693,factor,surface
90038,tend,great
78782,budget,police
72415,offer,sell
51828,measure,medical
8254,impact,explain
10063,leader,imagine
8945,should,film
79587,institution,democratic
35603,stuff,else
47835,laugh,red
28551,strong,machine
87896,get,suddenly
6041,building,story
54354,might,relate
95678,perhaps,despite
40370,along,hair
60346,ability,become
32476,lose,road
83601,notice,school
8728,throw,remain
83783,kid,step
19527,day,brother
65659,right,guy
34817,its,occur
26088,state,why
6111,than,size
35001,remain,store
66068,may,able
61120,act,so
93045,moment,avoid
25622,very,ground
33903,notice,air
42811,provide,left
80461,yourself,majority
60247,whose,shoulder
52846,matter,spend
14855,total,wall
40970,thing,situation
2878,particularly,information
34320,station,program
9298,senior,clear
48270,simple,sign
36729,standard,style
57074,deal,blue
2490,similar,simple
59154,yard,effect
61206,professional,voice
69605,human,officer
91080,again,anyone
36009,loss,nice
22784,performance,whom
58613,only,particular
25043,why,ok
41154,quite,baby
25468,pretty,else
35518,important,including
92715,but,do
8888,head,policy
80019,ability,thought
57467,season,bank
33432,prepare,eye
71648,nation,everybody
52587,challenge,reason
60176,race,leader
30236,lose,born
95291,bring,door
79378,result,company
71974,after,stage
65728,language,matter
19657,east,model
47506,them,let
67021,into,reveal
37985,within,simply
8687,scene,suffer
80174,will,think
37164,then,issue
28444,call,month
50871,involve,short
66893,common,city
64467,feeling,news
92418,power,issue
43542,open,reach
87399,dark,onto
41347,country,community
97280,both,home
83371,be,light
78106,within,leader
81472,great,nor
53077,simple,wear
34902,especially,senior
64132,improve,building
55362,message,fire
75792,prepare,ok
46643,story,commercial
30890,picture,all
12475,traditional,final
8654,reach,lay
65274,rule,compare
51810,she,ready
45106,play,in
83290,talk,window
95610,stay,score
74485,leg,example
60100,authority,summer
2421,serve,our
10265,all,piece
6970,kitchen,edge
1395,see,stand
35318,in,matter
24279,law,nation
97361,should,treatment
82333,model,girl
7580,how,kind
56776,poor,year
88699,stand,every
41269,memory,account
28291,director,eye
9523,once,notice
59860,actually,similar
54131,series,project
3928,thing,whether
32240,though,among
38226,set,ready
4747,model,picture
68581,nation,hand
64957,generation,receive
59225,herself,late
63281,resource,figure
10385,help,join
10288,teach,add
4419,clearly,realize
42025,plan,receive
40913,perform,behavior
71274,gun,drug
12288,reveal,board
53979,hear,fine
81495,media,admit
48505,author,environmental
57331,home,different
67241,inside,why
37357,woman,hand
69310,raise,number
52461,figure,season
73631,political,media
27141,effect,his
15216,against,friend
40647,east,avoid
71288,myself,example
26108,either,season
77925,range,over
30562,line,war
66542,professor,until
30086,tax,possible
91178,quite,condition
64237,minute,thought
70549,out,management
48366,election,camera
23960,might,rise
25820,yard,occur
60947,especially,visit
67,three,would
88745,leg,condition
86747,activity,around
93888,institution,ask
17498,people,follow
96293,difference,newspaper
25757,still,glass
64058,hope,where
12692,forget,think
87761,help,security
56063,base,third
26684,though,exactly
3433,establish,role
6163,their,summer
99833,role,tax
98928,difficult,paper
4751,enjoy,civil
8500,scientist,across
7624,part,decision
44046,similar,wonder
62484,fear,house
82289,could,sign
52125,there,direction
45116,mother,book
97370,seem,test
48739,later,trial
75358,guy,crime
29812,service,report
44833,most,during
97143,thing,maintain
74938,rather,size
24452,with,sometimes
21172,check,never
6655,lot,produce
93798,final,level
81138,remain,remain
69689,evening,standard
91697,student,third
44428,own,fine
81835,five,participant
51448,customer,month
28198,majority,entire
79348,cold,send
54057,director,economy
30377,however,effect
81920,society,marriage
29811,material,note
84048,baby,PM
4230,them,nor
30458,side,future
7480,impact,three
93194,audience,person
72243,television,mouth
40245,record,arm
87162,person,world
60932,them,into
43404,magazine,final
76422,sign,such
29858,heart,field
84484,behind,morning
37148,off,individual
88440,who,section
36403,everyone,operation
15844,more,evening
70089,test,picture
82522,least,realize
82681,while,nor
52874,argue,suddenly
50512,challenge,onto
80154,senior,bar
71197,usually,expect
58998,few,thing
54495,sound,according
77855,action,organization
9225,environment,front
24058,four,baby
55067,book,like
68484,store,summer
65207,husband,party
29933,analysis,manager
88952,threat,meet
7633,role,crime
38971,role,rise
93703,employee,improve
37039,car,find
95260,and,before
76192,wind,nation
75996,fly,company
44124,just,policy
2232,indicate,difficult
12175,allow,job
15615,Republican,perhaps
60258,control,daughter
2093,understand,party
62006,last,black
86658,light,nearly
39852,wait,leave
65429,girl,owner
76421,race,office
59640,well,alone
69850,toward,stop
29340,there,anything
57756,account,somebody
55008,while,director
78613,Congress,government
43088,they,all
48249,daughter,do
2887,nation,issue
64105,perform,employee
35094,traditional,be
58373,poor,traditional
64914,create,enjoy
840,stay,could
37450,trial,able
45530,film,number
39423,weight,memory
55791,father,building
99809,a,speech
10544,nor,include
24661,cost,indicate
13712,charge,same
22018,however,might
85042,when,a
26790,record,available
64398,build,hope
8845,left,better
51790,inside,avoid
98904,attack,strategy
78107,community,team
84301,last,effect
48829,stage,yes
17476,back,tax
35616,kitchen,school
89134,war,third
67158,TV,collection
29320,others,condition
62128,yeah,purpose
16079,explain,so
32203,choice,manager
71827,base,though
99094,gun,dark
65051,sport,talk
16940,left,blood
26164,apply,that
24045,I,health
17526,product,tough
44907,happen,unit
91578,soldier,race
95980,friend,what
44345,field,simply
62586,bag,mind
72620,school,decide
98169,race,choose
37376,current,southern
66030,mean,world
41893,if,many
7102,loss,teach
9118,real,wide
71558,picture,figure
43263,more,peace
72533,majority,site
29173,stuff,truth
67565,decide,sing
59080,rise,own
13364,student,catch
31734,situation,head
67410,buy,ever
26338,base,million
5909,attention,clear
84054,network,one
36882,plan,father
40656,whether,ten
65801,keep,voice
60928,cold,lose
55627,their,friend
86912,box,laugh
29044,professional,it
82575,can,school
71444,view,deal
37586,mission,allow
32146,city,yes
33831,education,bit
51360,account,compare
43305,arm,scientist
70681,why,lead
18280,individual,strategy
39163,wall,company
6580,pretty,sister
24635,far,enough
39997,material,throw
42012,hotel,arm
77589,policy,specific
10859,support,different
64418,anyone,kitchen
41744,try,policy
67190,hit,late
20187,follow,assume
6796,approach,act
86347,establish,actually
18018,force,everything
74376,position,perhaps
90950,any,other
34575,light,possible
16379,sell,health
59938,drive,significant
253,live,rate
68987,around,successful
12063,wife,behavior
97212,public,memory
79873,especially,question
39317,know,join
33012,shake,free
72719,dark,put
30591,computer,possible
55520,paper,force
75468,mind,tonight
46583,dinner,order
81291,quality,organization
44888,believe,finally
52870,choice,reach
54291,dream,threat
48559,go,part
35753,hold,son
38349,whom,road
73113,page,less
44635,her,owner
56878,action,line
8115,interesting,hour
33999,western,her
2451,remember,while
78414,miss,see
6603,either,guy
30109,development,world
84486,onto,court
9622,foot,upon
2211,one,foot
9794,high,shake
38914,theory,threat
58456,nature,so
94507,design,after
85202,reach,event
91751,phone,design
6729,either,paper
12014,pull,or
88375,research,our
37685,cold,pick
56109,art,husband
65556,manager,far
31333,ok,before
92429,Republican,today
39932,follow,his
49997,begin,always
90572,kitchen,choose
67967,financial,important
23780,they,modern
41421,peace,throw
81364,responsibility,then
54066,hospital,step
94738,open,analysis
23548,two,become
87224,benefit,loss
49131,yard,too
23505,rule,structure
76184,which,work
11434,tough,force
61379,say,help
38125,serve,over
1496,by,should
98680,have,Congress
29952,indeed,few
78422,third,until
10301,know,bad
97735,discussion,kind
41107,least,someone
635,economic,right
91849,mother,business
91427,suffer,by
74869,media,class
38807,should,need
41784,force,hear
79080,meeting,itself
65209,base,doctor
56003,main,throw
78309,street,along
44455,science,common
34591,particularly,understand
30217,better,agent
67620,key,image
16917,her,white
25742,last,partner
18005,surface,size
91832,fine,dinner
18947,director,travel
8989,five,any
32045,yard,sort
49313,industry,bring
96909,at,wish
18646,total,provide
50574,child,word
20369,near,training
61316,better,relationship
30958,something,into
77379,under,agree
43592,recent,listen
97346,certain,foreign
23888,white,difference
47608,employee,tax
72726,Mrs,finally
58477,blue,matter
74825,training,clear
28265,still,play
17167,argue,four
23467,assume,main
46466,mean,us
36248,keep,employee
66235,middle,eat
61766,same,base
88362,former,set
28272,police,wrong
90442,east,affect
81215,kitchen,hope
59039,dream,manage
23465,race,they
30371,knowledge,something
58372,citizen,evening
7169,water,world
42748,perform,travel
65726,study,inside
78253,majority,one
49987,million,least
11302,figure,total
60138,similar,meeting
67132,benefit,kitchen
67828,night,design
37121,painting,outside
63496,act,them
54281,degree,fly
61846,current,itself
60793,thus,today
9960,scene,increase
14833,claim,culture
44966,else,energy
4843,visit,less
37338,performance,trial
35218,suddenly,night
19986,not,scientist
42680,business,political
586,remain,deal
69845,reduce,factor
58640,coach,feel
2152,figure,example
50134,available,through
73488,technology,never
22685,west,apply
37383,serve,remember
22598,friend,measure
47566,good,leader
42895,charge,organization
96473,describe,federal
31699,without,such
62354,shoulder,build
36601,professor,the
54114,box,age
67294,firm,turn
77959,picture,generation
41452,culture,product
64059,course,feeling
68516,prove,society
23755,good,debate
82006,against,surface
4428,speak,small
58401,thought,huge
76286,guess,need
41920,rather,democratic
13147,study,performance
40825,oil,wait
51956,fact,hold
99045,so,most
29570,with,discuss
51415,suddenly,ready
29584,suggest,agency
36088,evening,cost
2626,ok,assume
36400,article,your
28672,land,particular
66452,technology,media
7190,officer,past
88643,clear,hear
12918,many,another
53855,sort,line
60276,goal,human
37404,now,on
95149,arm,save
24519,smile,tree
17665,in,age
2791,same,exist
84602,least,for
91336,southern,account
3511,successful,however
57577,certain,everyone
42602,get,begin
32493,oil,body
88566,child,read
82806,suddenly,page
9753,early,explain
11515,notice,face
58343,war,conference
94828,find,theory
80725,establish,let
23769,article,open
76674,news,trade
71305,save,night
45708,something,note
44714,unit,happy
23860,cultural,kid
49811,reason,manager
53790,experience,pretty
91447,feel,anything
95007,situation,bill
77087,at,want
7526,score,whom
88796,decision,north
4220,capital,dream
18491,song,involve
88102,sister,pull
71205,popular,arrive
55903,save,laugh
12702,majority,push
71828,form,training
71967,including,suggest
73447,walk,raise
98327,entire,environmental
34850,conference,factor
76183,newspaper,than
20218,contain,run
7299,what,we
90757,executive,short
35755,mind,avoid
58561,door,exactly
57804,source,reveal
35986,design,large
46103,share,remember
39224,car,heavy
19624,fill,suffer
23476,begin,majority
4953,six,group
45140,sit,peace
52066,past,power
43802,cell,another
33648,when,those
68017,Republican,up
25113,view,account
14342,different,growth
98519,daughter,center
21,around,side
73545,attorney,write
28922,drug,program
63759,these,well
53088,Democrat,north
11235,role,foot
11371,turn,situation
12601,garden,nice
34465,own,standard
76628,executive,cup
68218,follow,city
84938,two,fact
2627,place,prevent
34016,task,economic
30799,walk,product
27713,federal,security
67751,area,probably
8420,fall,authority
75185,nor,number
99759,either,successful
91554,hour,travel
97296,process,national
47655,thousand,top
28574,although,contain
90812,always,high
74234,memory,question
24988,such,draw
17732,simple,wall
54726,receive,fight
6808,I,today
23756,score,really
86100,score,discover
54359,believe,physical
1218,general,indeed
29251,give,to
15960,possible,speech
53751,will,participant
27086,stuff,choice
85480,use,paper
344,yet,trouble
35347,exist,decide
42968,agree,theory
59577,turn,television
23021,believe,guess
94492,lot,beat
42783,out,carry
39701,thing,while
2179,treatment,west
57784,common,of
59084,line,Congress
90923,history,food
513,thing,research
56459,itself,nature
68022,happen,teacher
91361,factor,authority
32487,floor,study
89339,put,manager
78435,alone,water
79922,hit,away
7008,seem,term
48520,medical,person
78387,management,kitchen
30554,there,focus
10984,art,fight
76724,fight,practice
26827,laugh,American
