curso_Conf,legajo,desde,hasta
account,9599872,1995-06-28,2023-01-27
story,69999803,2021-05-15,2023-12-05
region,70788001,2021-08-08,2021-09-21
pressure,77073331,1997-11-22,2001-05-01
woman,28943893,2000-03-23,2000-05-15
sometimes,21121965,1977-07-22,1977-09-15
lay,84297787,1970-02-07,1976-02-27
generation,58117597,2011-07-04,2019-02-09
approach,28967643,2017-11-07,2021-11-12
cause,86229727,1971-04-08,1981-03-04
he,35623692,1991-06-28,2012-05-14
turn,97234723,2024-06-06,2024-06-21
century,84668357,2005-03-25,2022-11-09
during,94394951,1975-11-05,1978-07-17
century,86491957,1985-09-10,2018-04-05
degree,88900145,1985-05-03,1986-10-26
official,27386419,1985-03-26,2017-12-11
view,37642544,1979-02-05,1999-04-23
theory,87565139,1996-08-05,2016-01-19
game,22211043,1980-01-21,1987-04-08
instead,18513028,2011-06-04,2013-03-02
later,27688863,1997-08-27,2017-04-04
billion,28157101,2022-01-12,2024-04-21
fund,24113608,1981-05-31,1999-11-22
avoid,91362276,1999-09-28,2011-09-05
point,79956240,1999-03-21,2018-04-11
should,7861410,2000-04-30,2018-03-29
night,94300198,2017-09-21,2020-08-06
sort,47948351,1988-08-05,2023-08-02
second,90104429,2022-07-07,2023-06-09
subject,52270311,1991-09-20,2021-08-06
rise,49667021,1983-01-08,1990-04-13
clearly,54995138,1981-10-09,2004-05-30
site,41568874,1984-08-24,2001-01-03
model,79088139,1986-12-21,1989-09-17
network,81024209,1999-11-21,2024-02-03
itself,31520134,2010-05-30,2017-10-30
clearly,23599891,1984-01-18,2007-04-28
age,56801746,1980-05-11,1998-09-26
six,52712390,2014-12-26,2017-06-28
happen,48882492,2009-09-23,2017-08-19
data,68387564,2022-03-08,2024-06-25
international,37115199,2004-08-31,2017-04-30
common,21386246,1998-05-25,2005-12-30
choice,67071908,2004-04-25,2011-08-19
head,53615224,2020-07-03,2022-06-04
government,89361320,1994-03-18,2019-06-16
task,11797897,2000-09-16,2014-06-03
plan,7666126,1971-10-28,1975-06-14
central,76951662,1978-04-24,2019-03-12
owner,78133665,2015-08-03,2023-09-04
professor,4878203,1973-05-01,1975-03-13
which,61197366,2019-11-27,2023-12-01
beautiful,25805523,2011-07-26,2017-02-24
game,99756250,1987-12-31,2024-01-14
fact,56880430,1972-10-02,2017-04-04
site,67051898,2001-01-31,2024-07-06
cold,97536298,2014-11-28,2020-11-25
occur,52250035,2006-08-15,2010-12-16
father,61176062,2010-04-15,2013-08-01
boy,78870766,2014-02-26,2021-11-25
network,83485636,1984-05-21,1990-03-18
director,71574469,1984-08-06,2021-12-07
eat,34215813,2001-01-31,2003-04-26
per,68857359,2005-09-26,2016-04-08
American,98600125,1970-10-06,1971-04-23
industry,27214291,2015-12-30,2022-11-17
once,75883955,2013-11-02,2015-12-28
memory,86802928,1994-08-25,1996-09-05
education,54086296,2017-05-24,2020-09-01
something,12802943,2011-08-27,2019-05-08
speak,61714659,1971-01-28,2005-06-07
detail,93090222,1987-03-06,1998-05-03
be,35938215,1996-10-24,2008-06-02
tonight,58082691,2006-06-03,2023-03-15
box,98365185,2009-06-14,2020-12-16
politics,8356270,1977-05-08,1989-01-03
enter,36381225,1999-06-29,2006-05-11
hand,33345290,2011-06-09,2015-07-25
law,31575636,2024-01-21,2024-01-25
significant,40144428,2017-12-31,2018-01-25
modern,53564717,1973-05-08,1992-03-16
those,42382089,1986-06-02,1992-06-13
those,8196845,2008-12-26,2017-11-30
draw,10354671,2005-08-07,2012-11-20
hear,60363305,1983-12-25,2005-09-20
responsibility,75249632,2012-07-06,2020-08-30
finish,43870956,1993-01-23,2010-11-07
accept,13924707,1986-01-21,2005-10-09
best,66738397,1990-09-14,2000-09-07
hour,25707804,1975-10-06,1980-12-20
fast,4968931,1990-06-28,1998-10-26
close,25840697,2021-08-29,2021-10-11
moment,75420217,1998-03-13,2002-05-31
run,76512465,2019-03-11,2022-11-16
base,41982424,2023-02-12,2024-04-02
school,98457137,2014-01-11,2019-02-02
must,42824281,2019-10-27,2021-06-29
PM,39698994,1981-03-31,1989-02-17
art,82272909,1974-10-25,2023-08-14
it,60427543,1990-05-22,1998-11-12
friend,53305429,1993-09-12,2017-12-11
letter,59370809,2010-04-06,2022-09-29
within,58396655,2000-06-20,2018-09-15
bring,35386437,2006-10-13,2021-09-11
coach,25930310,1983-04-21,2013-06-16
event,22815572,1996-02-02,2004-06-14
include,40774630,1991-11-20,2021-01-18
also,10275349,1995-10-01,1996-11-24
then,65380351,2019-08-19,2024-02-12
house,55882995,1989-08-28,2001-10-22
cup,39808706,2009-02-02,2015-12-01
production,8462944,2003-11-08,2008-07-16
meet,87529896,2023-08-18,2024-02-13
her,47774376,2018-12-27,2022-01-08
little,35718459,2022-04-30,2022-09-25
myself,46843623,2021-08-18,2022-12-21
degree,13607169,2013-05-16,2021-07-12
they,20127919,1986-12-18,1988-09-09
idea,22264019,2022-07-30,2023-10-03
nearly,16456570,1997-06-17,2002-10-18
scientist,73372028,1974-04-13,1985-04-10
word,95752050,1985-10-07,1999-10-16
door,24506781,2024-01-15,2024-07-04
admit,20091904,2000-02-10,2003-01-13
after,55461494,2019-09-30,2022-12-31
important,96515793,2000-11-19,2002-03-31
American,68748025,1972-06-08,1984-05-21
meeting,41442179,2022-03-03,2022-06-28
half,5048295,1988-01-10,2000-07-01
small,32672554,1998-06-03,2021-04-20
choice,43992222,1992-11-30,1992-12-04
eat,74273498,1984-03-15,2000-05-01
would,34256225,2004-06-24,2014-07-23
say,23907651,2015-01-17,2023-04-30
mention,92197005,1984-10-03,2021-10-26
forward,58897044,1975-01-05,2024-06-08
unit,54691955,1981-01-20,1988-08-21
part,36279074,1984-03-02,2002-04-15
cost,16442586,2008-01-04,2015-11-02
they,26113348,2004-10-23,2019-08-10
remember,68039919,2014-08-05,2017-04-21
woman,62242369,1979-12-16,1980-02-15
produce,49959362,1974-04-23,2021-03-28
expect,83812397,1986-04-30,1996-03-26
bad,83677842,1973-04-21,2021-08-29
food,49806652,2023-04-25,2023-09-02
industry,98745554,2013-12-03,2022-04-30
who,19044118,1973-03-30,1999-02-04
dinner,59475796,1984-10-08,2002-03-18
trip,77308888,2004-09-29,2012-02-24
act,51527938,2001-08-09,2022-12-25
foot,55354635,2004-06-17,2011-12-29
production,1195578,2005-01-14,2014-01-02
final,98816985,1983-08-20,1993-12-06
work,52809687,2021-11-29,2023-06-29
by,97707537,1997-04-19,2023-01-19
enough,40029464,1970-12-29,1994-11-29
stuff,81311589,1992-07-24,2002-11-13
moment,57382212,2010-09-28,2014-05-10
value,634919,2011-10-14,2023-07-20
page,31794951,2013-11-04,2015-02-10
drop,60793336,1993-08-19,1998-08-31
cup,49491104,2011-01-18,2011-08-23
ten,26465992,1978-03-20,2004-10-24
thousand,97368954,2003-11-13,2024-05-29
fight,73946433,1972-10-07,1993-08-31
region,96003259,2001-09-28,2007-05-09
support,69646906,1998-03-19,2011-08-03
expect,79868346,2013-11-29,2024-04-10
role,28645920,1983-08-09,2014-12-04
tough,14632643,2017-12-16,2020-09-14
kitchen,34420752,1970-09-05,2002-09-15
expect,96348323,2002-11-09,2014-10-05
traditional,16615991,2015-05-18,2018-10-12
price,88621266,2013-01-19,2022-08-22
game,44104322,1973-11-27,1994-12-17
number,1499242,1995-03-03,1998-06-02
cost,44898240,2022-07-11,2023-08-23
reason,91073931,1977-10-07,1979-06-29
hundred,42204269,1970-04-01,1989-01-15
community,35156718,1981-01-15,2000-02-14
hospital,86669705,2012-01-03,2012-06-08
ability,16370412,1975-05-02,2005-08-18
little,27602380,2012-07-12,2024-01-14
kid,52828756,1992-05-29,2022-12-31
down,25939859,1971-07-15,2005-04-11
pick,96648106,2008-02-27,2017-03-09
fast,33011036,1986-05-29,1991-10-17
music,24482447,2020-12-27,2022-08-05
side,19712048,2001-06-11,2004-06-10
image,10168264,1998-03-09,2005-05-04
skin,86391832,2012-11-12,2022-05-19
during,85241524,1977-01-09,2019-08-20
go,58027361,1972-12-22,2015-03-21
if,89425237,2012-05-24,2012-09-23
few,71731524,1987-10-01,2004-04-09
thing,82709130,2000-12-16,2001-03-01
couple,86083556,2024-01-05,2024-03-01
gun,21633277,1996-03-16,2001-02-20
require,84904899,2000-04-25,2020-10-17
amount,53763653,2003-08-22,2009-10-08
believe,78824752,1996-06-07,1997-10-18
wait,47786533,1995-01-17,2005-02-15
idea,86723197,1988-06-11,2013-02-15
figure,59849816,2003-10-13,2023-01-15
understand,46413826,1987-12-29,2007-01-12
total,50211396,2018-05-19,2023-11-03
defense,66521366,1997-11-11,2017-08-24
or,48117629,2023-06-30,2024-06-14
join,29920228,1986-07-06,2023-07-01
stuff,24408792,1970-09-08,1985-02-27
six,12866539,1994-04-30,2023-09-19
hundred,6582028,1995-12-03,1998-10-04
box,19714916,1991-01-06,2004-10-02
certainly,15490163,1971-01-19,2022-03-29
itself,10612755,1997-04-04,2004-12-30
red,56297115,2002-05-25,2006-04-11
different,30039571,2007-03-19,2008-12-22
chair,98903838,2007-07-07,2010-10-30
future,26468019,1990-05-13,2004-02-05
professor,111577,2019-05-02,2024-01-08
clear,10731332,1973-02-07,2019-04-21
road,11458414,2022-07-29,2024-06-15
particularly,30884645,1980-11-04,2000-07-17
cost,76124970,2006-03-27,2006-05-19
day,97368954,1994-05-19,2001-03-30
carry,40521160,2008-03-28,2012-10-11
language,14796922,2021-01-08,2023-09-19
imagine,92071003,1981-10-31,1993-11-03
beautiful,75979815,1997-02-10,1998-01-18
act,55528160,2021-07-06,2023-06-16
choice,32474955,2008-08-22,2014-08-07
account,60091860,1992-09-14,1998-05-16
character,25946728,1983-12-28,2016-05-20
send,99007764,1985-11-29,2017-02-06
finally,78105660,1973-03-01,1983-07-26
teach,82530129,2000-06-11,2006-10-31
likely,49910360,1991-03-03,2021-05-26
town,61397926,1979-10-27,2000-08-06
increase,36050762,1995-04-19,1996-03-22
miss,99280660,1998-04-04,2019-10-17
however,65840680,2012-07-16,2014-04-28
during,43509791,2001-01-24,2017-03-19
science,84649644,1991-12-17,1993-07-25
information,75045402,1978-07-03,2001-09-07
wide,29564073,2021-09-22,2022-01-01
head,39512889,1979-08-04,1997-08-23
court,16014976,1980-03-03,2013-04-05
trouble,11891153,2005-02-21,2008-03-09
few,66542000,1985-02-26,1989-01-16
although,83178987,1985-11-24,2002-05-02
poor,78249561,2023-11-12,2024-01-30
lot,36268700,1994-12-28,2000-11-05
how,69948252,1990-07-22,1999-07-26
scene,46835813,1999-04-19,2016-12-17
second,77538580,2012-10-18,2014-04-17
like,89261299,2018-09-04,2023-05-29
project,35438088,2009-12-31,2012-01-16
whether,16447871,2004-09-02,2007-09-27
guess,8879422,2004-03-31,2017-09-23
well,79056288,1996-03-20,2009-11-22
treatment,20283857,1984-10-30,1986-12-09
rather,55553959,1995-06-20,1996-05-03
choice,30484002,1976-09-08,1990-12-18
somebody,23176025,2023-06-28,2024-03-05
go,90677224,1991-06-27,2009-08-02
they,60610060,2020-04-03,2023-05-07
eight,74406593,1982-05-28,2019-06-16
his,16163020,2018-06-14,2023-05-25
my,56150921,2004-08-16,2006-03-20
argue,85285739,2003-05-13,2016-11-27
fish,28768038,2010-01-01,2014-05-21
one,75813036,1973-08-14,2021-08-21
smile,72380315,2015-07-01,2019-12-27
best,38945275,2015-04-11,2021-09-04
all,69447519,1986-02-22,2021-09-28
sure,93626234,1985-04-11,1996-09-27
here,58874050,2003-07-30,2021-09-14
player,7629554,1984-02-02,2004-04-02
investment,14311112,2008-07-12,2014-11-03
common,97905396,2020-11-02,2023-06-04
long,94466519,2018-12-25,2024-01-21
wide,59604952,1991-07-11,2022-03-03
not,10983208,1996-12-18,2001-07-10
third,62016504,2019-12-19,2023-08-29
structure,36915679,2021-02-13,2024-06-01
financial,51858891,1976-02-02,1999-01-14
no,30490570,2004-01-15,2015-05-04
third,61661914,2001-06-26,2017-08-17
interest,60748794,2016-05-16,2023-01-15
fine,68530776,2010-08-15,2016-06-21
itself,57586753,1983-12-10,2023-10-15
prevent,57080235,2002-10-09,2014-09-30
nor,98610022,2003-08-05,2013-04-27
door,3675541,1987-02-07,1987-07-10
against,70814585,1976-03-23,1999-03-14
here,30261872,1991-01-19,1999-10-19
early,19507935,2016-08-13,2020-12-16
people,39764328,2017-05-10,2022-01-28
forward,2373917,1979-11-22,1991-07-17
usually,79495794,2013-10-30,2016-10-01
if,17793502,2006-03-16,2024-05-01
would,82260654,1998-06-23,2017-09-02
present,71359691,1973-07-30,1981-12-24
mother,42164588,2013-05-16,2017-11-06
including,10983208,1994-03-16,2004-07-06
occur,85497016,2003-02-02,2013-08-05
kitchen,71643518,1996-05-20,2002-05-31
run,72920230,1996-04-13,1997-10-16
friend,32183129,1985-09-25,1988-09-05
data,37769199,1971-09-07,1988-11-07
capital,87041041,1992-06-17,2010-12-15
director,76484206,1985-10-04,2017-05-31
occur,50679001,2008-03-10,2023-12-10
career,25717383,1983-05-16,1992-12-12
truth,31708093,1984-07-31,1985-02-08
probably,78424940,2013-05-02,2022-07-20
occur,87297689,1987-03-28,1996-10-29
response,4574595,1996-11-20,2002-02-04
help,51641256,2005-06-04,2022-01-04
body,8758290,1975-06-06,1987-08-12
too,69756693,2002-08-02,2016-08-03
majority,49705342,2013-11-26,2021-01-09
decide,244373,2023-04-02,2023-08-24
both,11921187,2003-01-03,2018-11-10
then,54833034,1991-12-26,2001-04-11
send,23492122,2011-04-05,2021-11-30
work,31971119,2013-02-09,2014-08-16
science,67143627,1970-12-29,2024-03-19
win,32372585,2002-04-15,2005-07-12
population,93003256,2020-01-24,2021-10-04
walk,10331628,2003-04-30,2012-07-05
home,27851971,2003-05-03,2017-09-28
suddenly,62518595,1997-10-13,2014-12-27
check,91634118,1977-08-08,2024-06-14
painting,44683681,2003-10-01,2019-11-20
study,76591812,2003-02-16,2004-10-16
herself,96896570,1973-12-06,1997-06-08
occur,57753311,2003-07-01,2018-04-21
tough,17414945,2009-06-03,2016-01-01
Congress,61271966,2019-06-17,2021-01-26
leave,47954169,2004-03-20,2015-06-22
quickly,51271148,2001-10-06,2002-04-05
sign,46986251,1979-05-07,1982-03-16
star,88681695,1999-11-21,2021-02-05
our,30832590,2017-09-29,2021-11-08
little,44519957,2024-05-11,2024-06-12
theory,41789791,2013-08-13,2020-06-26
film,91052141,2019-07-24,2022-09-29
go,95967979,1987-09-11,2022-04-22
mother,58490470,1995-02-25,2019-03-21
organization,95636559,1972-02-23,2019-11-22
until,70157515,1988-03-14,2023-12-12
if,75150327,2000-08-08,2004-06-06
agency,41563500,2024-04-22,2024-06-13
participant,49083325,1980-12-16,2008-10-04
institution,7361034,2021-12-29,2022-11-29
water,64569799,1989-05-07,2013-04-14
people,31172806,2008-11-24,2019-10-04
feeling,86796092,2010-02-21,2019-02-22
keep,51417119,1985-07-10,1996-08-19
interview,29947207,1983-11-11,2000-04-18
lay,12254871,1997-12-14,1998-10-23
positive,16548798,1994-05-18,2003-07-05
together,3270044,2017-10-11,2024-04-16
down,41922865,1979-09-27,2023-07-06
another,75849236,1983-09-28,2001-09-11
bad,55752212,1995-03-17,2021-10-06
boy,83730067,1999-07-01,2017-09-07
wait,83018512,1997-10-25,2022-05-24
employee,82778422,2004-06-26,2009-11-24
capital,60820144,1973-08-29,1994-03-02
share,93536290,1979-08-28,1994-01-12
improve,44281555,2009-09-15,2019-01-29
dinner,19934323,1970-03-02,1985-03-29
explain,38496508,2015-09-27,2016-06-19
culture,75631527,2008-07-17,2015-01-18
kid,11195438,1980-05-28,1998-08-05
relationship,28250399,1980-07-26,2002-06-12
student,58125260,1979-07-27,2015-01-31
truth,29252092,1997-10-31,1998-11-15
scientist,20415359,2002-11-21,2022-02-24
apply,10336107,1989-01-29,2020-01-28
lead,88404062,2022-05-01,2022-11-28
light,39987400,2018-04-22,2023-11-22
think,32969747,1985-07-02,2018-08-13
officer,88717750,2020-03-31,2024-07-06
young,98593917,1971-01-17,1979-05-15
side,90481680,1973-08-25,2010-08-28
air,99023127,1983-08-23,1984-09-01
television,97576518,2010-06-18,2020-06-24
result,79605382,1993-12-08,2003-05-21
edge,32019691,2003-01-02,2004-07-30
game,62192453,1971-10-01,1977-09-09
face,35805015,1988-02-16,2005-01-10
brother,71972066,2005-01-08,2008-07-02
hundred,98811715,2021-08-29,2021-11-13
couple,47261885,2014-07-29,2024-05-16
system,33679515,1988-04-27,2002-09-05
boy,18826646,2013-04-15,2021-04-29
environmental,11936125,1997-09-09,2023-01-12
community,53012687,1986-10-19,2001-01-17
police,16095958,1983-04-27,2023-11-23
of,60624984,2009-06-06,2022-01-30
tax,62414824,1997-11-02,2008-08-12
who,60069231,1993-02-03,2019-06-02
rule,83086710,2023-11-07,2024-05-13
trial,60438914,1990-01-14,2004-07-30
produce,75634932,1980-04-12,1994-01-27
west,59417936,2013-11-11,2014-01-08
score,81325119,1977-11-15,2006-11-28
decision,54154897,1973-11-25,1991-10-17
risk,10635945,1984-08-19,2005-05-31
both,20918836,1994-01-18,1998-06-05
work,58638529,1990-07-21,2010-03-29
who,57565337,1996-05-02,1998-06-29
face,89194854,1998-04-09,2021-10-28
day,67494794,1970-08-29,1997-09-07
chair,77641485,2017-08-15,2019-08-04
time,69206025,2011-09-26,2018-02-10
learn,67352000,2015-02-15,2022-03-14
management,73363115,1974-08-13,2010-05-29
school,99858886,1979-04-06,1992-08-25
final,96807027,2015-06-16,2015-08-14
